,"Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
first_choice,1.51,0.26,9.08,9.48,12.45,3.90,1.13,0.47,1.23,6.48,0.73,5.61,7.69,7.51,6.05,8.28,9.11,8.91,0.11
"Adkins, Lawrence J.",,4.76,0.96,0.98,0.90,1.76,1.10,4.00,0.00,3.65,3.39,0.22,0.40,3.23,2.26,3.91,1.37,0.63,0.00
"Condit, James E., III",5.76,,0.27,0.26,0.20,0.32,1.66,1.33,11.11,0.19,0.00,0.22,0.08,0.17,0.82,0.53,0.48,0.49,0.00
"Davis, Henrietta",6.58,9.52,,22.51,4.40,10.38,2.21,2.67,1.52,11.23,9.32,4.77,22.17,5.88,12.85,13.38,4.10,2.58,0.00
"Decker, Marjorie C.",7.41,9.52,30.29,,7.85,11.18,2.21,0.00,1.01,8.93,5.08,4.88,15.05,8.62,9.25,20.23,5.67,3.91,11.76
"Galluccio, Anthony D.",4.53,4.76,5.07,11.09,,5.43,5.52,12.00,8.08,7.97,2.54,24.94,4.61,10.36,5.14,5.19,23.57,22.07,0.00
"Gordon, Jesse A.",3.29,7.14,3.22,4.13,1.50,,8.29,5.33,4.04,7.87,5.08,1.88,5.58,1.08,8.12,2.41,1.02,0.49,5.88
"Green, Andre Lerone",0.82,4.76,0.75,0.59,0.65,4.63,,8.00,21.21,1.44,4.24,0.22,0.16,0.33,0.72,0.68,0.41,1.12,5.88
"Hall, Robert Lee, Sr.",0.41,2.38,0.41,0.20,1.10,0.80,8.29,,4.55,0.86,0.85,0.11,0.00,0.83,0.41,0.53,0.48,0.49,0.00
"Hees, Bill",0.82,11.90,0.34,0.26,0.85,1.60,24.31,9.33,,2.02,4.24,0.55,0.73,0.41,0.72,0.30,0.41,0.63,0.00
"Kelley, Craig A.",9.05,0.00,4.04,2.76,3.25,8.47,5.52,6.67,11.62,,11.86,2.33,4.13,1.57,29.39,2.56,1.71,1.40,0.00
"LaTremouille, Robert J.",1.23,4.76,0.82,0.66,0.65,1.12,1.66,0.00,3.54,1.82,,0.22,0.49,0.58,1.03,0.38,0.55,0.28,0.00
"Maher, David P.",1.65,7.14,3.43,2.56,14.94,0.96,3.87,5.33,7.58,4.41,5.93,,6.31,2.40,2.98,2.03,12.50,7.26,0.00
"Murphy, Brian",2.47,0.00,15.22,10.30,3.10,10.70,2.76,1.33,3.54,9.50,5.93,9.42,,3.48,11.82,5.19,3.14,0.84,5.88
"Reeves, Kenneth E.",21.40,0.00,5.28,8.86,7.85,5.91,3.31,16.00,0.51,3.84,8.47,4.55,6.63,,2.26,21.43,5.74,2.86,0.00
"Seidel, Sam",5.35,7.14,6.85,5.38,1.45,19.49,2.76,5.33,7.07,18.81,7.63,3.55,12.62,3.56,,3.61,1.16,0.84,0.00
"Simmons, Denise",16.05,2.38,12.61,16.08,4.65,8.47,6.08,8.00,2.02,5.37,5.93,3.33,8.74,35.13,6.58,,5.53,3.56,5.88
"Sullivan, Michael A.",3.70,7.14,4.11,5.31,26.64,1.92,3.31,2.67,2.53,3.65,5.93,22.95,5.58,9.86,2.06,7.67,,34.08,0.00
"Toomey, Timothy J., Jr.",2.47,2.38,1.71,3.15,11.59,1.44,3.31,0.00,2.53,2.30,1.69,8.98,1.62,2.82,0.92,3.23,24.04,,0.00
writeIns,0.00,0.00,0.00,0.07,0.10,0.16,1.10,0.00,0.00,0.19,0.85,0.00,0.00,0.08,0.00,0.08,0.14,0.14,
exhaust,7.00,14.29,4.59,4.86,8.35,5.27,12.71,12.00,7.58,5.95,11.02,6.87,5.10,9.61,2.67,6.69,7.99,16.34,64.71
