,ALEXANDER PAIGE FRESQUEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE
first_choice,0.76,3.52,8.20,10.25,4.75,3.05,1.50,36.98,11.51,19.49
ALEXANDER PAIGE FRESQUEZ,,1.22,2.09,3.49,1.36,2.11,4.76,1.80,0.68,0.84
BEV COURTNEY,2.83,,5.41,2.30,8.73,8.69,3.33,1.68,48.94,5.61
EUGENIA (GINA) MONTOYA ORTEGA,10.38,5.28,,6.70,12.95,13.15,8.57,8.62,3.35,9.06
GREGORY Z SMITH,24.53,5.49,6.97,,6.93,8.45,13.33,22.95,3.66,13.03
ISABELLA SOLIS,3.77,5.28,13.34,5.44,,13.38,15.24,7.48,6.58,7.41
JESUSITA DOLORES LUCERO,9.43,6.91,9.76,4.54,8.28,,2.86,3.62,6.15,6.39
JORGE SANCHEZ,9.43,2.44,5.49,2.37,4.07,2.35,,2.44,1.68,1.69
KEN MIYAGISHIMA,22.64,5.49,15.95,35.87,11.14,10.80,15.24,,4.60,20.95
MIKE A TELLEZ,5.66,45.93,7.59,5.72,18.98,10.80,13.81,4.33,,12.77
WILLIAM BILL MATTIACE,6.60,13.21,15.95,20.80,16.57,18.08,7.14,19.12,15.16,
exhaust,4.72,8.74,17.44,12.77,10.99,12.21,15.71,27.96,9.19,22.24
