,"ABDUL M RAHAMAN ""THE ROCK""",ALICIA K. BENNETT,BETSY HODGES,BILL KAHN,"BOB ""AGAIN"" CARNEY JR",BOB FINE,CAM WINTON,CAPTAIN JACK SPARROW,CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CYD GORMAN,DAN COHEN,DON SAMUELS,DOUG MANN,EDMUND BERNARD BRUYERE,GREGG A. IVERSON,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR.",JAMES EVERETT,JAYMIE KELLY,JEFFREY ALAN WAGNER,JOHN CHARLES WILSON,JOHN LESLIE HARTWIG,JOSHUA REA,KURTIS W. HANNA,MARK ANDREW,MARK V ANDERSON,MERRILL ANDERSON,MIKE GOULD,NEAL BAXTER,OLE SAVIOR,RAHN V. WORKCUFF,STEPHANIE WOODRUFF,TONY LANE,TROY BENJEGERDES,writeIns
first_choice,355.00,354.00,28962.00,102.00,56.00,2101.00,7533.00,265.00,192.00,172.00,39.00,1808.00,8350.00,779.00,72.00,146.00,3548.00,65.00,349.00,197.00,167.00,37.00,97.00,110.00,200.00,19648.00,984.00,109.00,204.00,147.00,700.00,66.00,1014.00,220.00,149.00,118.00
"ABDUL M RAHAMAN ""THE ROCK""",,5.00,85.00,5.00,1.00,3.00,9.00,9.00,0.00,2.00,0.00,3.00,34.00,1.00,0.00,4.00,13.00,2.00,4.00,1.00,4.00,0.00,0.00,3.00,2.00,72.00,9.00,1.00,5.00,0.00,2.00,1.00,6.00,0.00,4.00,1.00
ALICIA K. BENNETT,3.00,,198.00,4.00,1.00,26.00,16.00,1.00,2.00,2.00,0.00,11.00,40.00,8.00,1.00,5.00,53.00,3.00,4.00,7.00,6.00,0.00,3.00,3.00,0.00,160.00,6.00,2.00,14.00,0.00,2.00,0.00,35.00,2.00,1.00,1.00
BETSY HODGES,31.00,53.00,,4.00,6.00,481.00,1045.00,37.00,3.00,4.00,4.00,224.00,3356.00,245.00,12.00,6.00,812.00,4.00,71.00,52.00,13.00,1.00,8.00,4.00,41.00,6984.00,236.00,5.00,12.00,29.00,12.00,5.00,309.00,40.00,27.00,21.00
BILL KAHN,19.00,2.00,19.00,,1.00,7.00,15.00,5.00,3.00,1.00,1.00,4.00,6.00,1.00,0.00,1.00,7.00,2.00,3.00,1.00,0.00,1.00,2.00,3.00,0.00,22.00,6.00,1.00,2.00,3.00,11.00,0.00,6.00,1.00,3.00,1.00
"BOB ""AGAIN"" CARNEY JR",3.00,1.00,20.00,0.00,,3.00,12.00,6.00,0.00,0.00,1.00,6.00,9.00,4.00,0.00,0.00,1.00,1.00,3.00,0.00,0.00,0.00,1.00,1.00,6.00,13.00,3.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00
BOB FINE,3.00,17.00,1387.00,3.00,2.00,,597.00,12.00,2.00,0.00,1.00,119.00,363.00,18.00,2.00,10.00,151.00,3.00,7.00,3.00,3.00,2.00,1.00,1.00,5.00,858.00,45.00,2.00,8.00,4.00,12.00,4.00,56.00,2.00,2.00,2.00
CAM WINTON,2.00,5.00,1268.00,2.00,0.00,251.00,,9.00,26.00,20.00,2.00,353.00,468.00,9.00,8.00,1.00,131.00,1.00,5.00,3.00,2.00,2.00,6.00,2.00,19.00,732.00,69.00,3.00,3.00,9.00,81.00,3.00,90.00,3.00,5.00,7.00
CAPTAIN JACK SPARROW,8.00,0.00,160.00,3.00,6.00,15.00,98.00,,4.00,1.00,0.00,27.00,46.00,13.00,0.00,1.00,24.00,1.00,4.00,3.00,2.00,1.00,1.00,3.00,10.00,109.00,15.00,3.00,2.00,4.00,10.00,1.00,6.00,4.00,2.00,5.00
CHRISTOPHER CLARK,0.00,1.00,24.00,1.00,0.00,5.00,226.00,6.00,,46.00,0.00,15.00,10.00,6.00,0.00,2.00,4.00,0.00,1.00,0.00,0.00,2.00,3.00,0.00,10.00,18.00,13.00,1.00,3.00,4.00,39.00,1.00,2.00,2.00,1.00,2.00
CHRISTOPHER ROBIN ZIMMERMAN,0.00,0.00,26.00,2.00,0.00,12.00,169.00,5.00,60.00,,1.00,25.00,7.00,2.00,0.00,2.00,14.00,1.00,4.00,1.00,0.00,0.00,3.00,1.00,9.00,19.00,18.00,1.00,0.00,0.00,45.00,4.00,1.00,1.00,2.00,0.00
