,ANNIE YOUNG,CASPER HILL,HASHIM YONIS,ISHMAEL ISRAEL,JASON STONE,JOHN ERWIN,MARY LYNN MCPHERSON,MEG FORNEY,STEVE BARLAND,TOM NORDYKE,writeIns
first_choice,15.63,2.15,6.33,5.56,9.01,24.68,5.67,13.21,6.23,10.95,0.58
ANNIE YOUNG,,11.72,5.77,15.10,18.05,24.89,24.67,19.12,8.50,6.53,2.34
CASPER HILL,2.08,,0.98,3.96,2.89,2.08,2.79,2.02,3.67,1.29,1.17
HASHIM YONIS,2.70,2.50,,14.95,1.61,1.25,2.70,2.00,1.05,0.80,1.46
ISHMAEL ISRAEL,6.09,4.92,12.65,,5.26,3.37,3.56,3.72,3.40,1.72,1.46
JASON STONE,11.68,8.83,1.91,8.17,,14.79,6.14,4.66,7.69,5.99,2.05
JOHN ERWIN,16.69,14.22,3.11,8.17,25.78,,5.43,9.47,11.74,48.73,1.75
MARY LYNN MCPHERSON,8.76,7.81,2.60,5.42,2.93,2.32,,14.49,5.80,2.92,1.46
MEG FORNEY,18.28,12.97,3.08,10.14,8.23,6.62,18.26,,12.63,9.55,2.34
STEVE BARLAND,3.11,7.42,1.09,2.33,5.49,2.72,4.71,4.01,,5.19,0.58
TOM NORDYKE,6.40,6.33,1.65,3.69,10.27,27.82,5.28,7.68,9.64,,0.88
writeIns,0.20,0.39,0.16,0.51,0.21,0.10,0.18,0.18,0.49,0.12,
exhaust,24.00,22.89,66.99,27.56,19.28,14.05,26.30,32.66,35.38,17.16,84.50
