,Al Flowers,Aswar Rahman,Betsy Hodges,Captain Jack Sparrow,Charlie Gers,Christopher Zimmerman,David John Wilson,David Rosenfeld,Gregg A. Iverson,Ian Simpson,Jacob Frey,L.A. Nik,Nekima Levy-Pounds,Raymond Dehn,Ronald Lischeid,Theron Preston Washington,Tom Hoch,Troy Benjegerdes,writeIns
first_choice,0.68,0.72,18.10,0.42,1.18,0.00,0.21,0.46,0.32,0.11,24.99,0.59,15.04,17.32,0.31,0.00,19.25,0.18,0.13
Al Flowers,,7.14,1.70,5.02,0.81,0.00,2.73,1.89,3.88,1.68,0.89,1.80,4.56,1.38,0.31,0.00,1.73,3.26,1.45
Aswar Rahman,5.34,,1.86,2.51,2.11,0.00,3.18,4.19,2.39,5.04,1.33,1.47,2.83,1.36,3.08,0.00,1.91,2.72,0.00
Betsy Hodges,15.75,9.92,,6.62,4.22,0.00,4.09,11.32,20.00,5.04,15.95,2.61,23.15,22.84,4.62,0.00,11.85,4.35,4.35
Captain Jack Sparrow,2.67,2.25,0.68,,4.79,0.00,10.00,6.29,4.18,8.40,0.73,5.07,0.81,0.71,4.00,0.00,1.46,6.52,3.62
Charlie Gers,0.98,1.98,0.40,4.34,,0.00,3.64,1.68,2.09,9.24,0.68,17.32,0.23,0.22,10.46,0.00,1.64,2.72,3.62
Christopher Zimmerman,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David John Wilson,0.84,1.06,0.24,7.08,3.00,0.00,,2.31,0.60,2.52,0.26,2.29,0.26,0.21,3.08,0.00,0.49,2.72,2.90
David Rosenfeld,1.41,1.46,0.60,5.94,1.14,0.00,3.18,,2.99,0.00,0.34,1.14,1.13,1.24,2.46,0.00,0.45,1.63,2.17
Gregg A. Iverson,1.69,1.46,1.34,0.91,0.89,0.00,2.27,0.84,,0.84,1.11,1.96,0.49,0.22,2.15,0.00,0.94,1.09,1.45
Ian Simpson,0.70,0.40,0.15,4.34,3.24,0.00,3.64,2.10,1.19,,0.09,2.29,0.10,0.06,2.77,0.00,0.21,3.26,0.00
Jacob Frey,7.45,13.89,20.31,9.13,8.27,0.00,11.36,6.29,13.73,7.56,,8.66,15.85,14.95,7.08,0.00,41.62,14.13,5.80
L.A. Nik,0.84,0.93,0.25,7.08,17.11,0.00,2.27,1.89,0.90,4.20,0.38,,0.24,0.25,10.15,0.00,1.16,5.43,2.90
Nekima Levy-Pounds,18.28,12.43,19.59,6.39,1.14,100.00,4.55,17.40,4.18,5.04,10.31,1.47,,39.69,3.08,0.00,9.14,7.07,1.45
Raymond Dehn,9.42,10.98,21.15,6.39,3.00,0.00,5.00,17.82,5.37,5.04,12.18,1.31,32.71,,5.23,0.00,12.25,9.24,2.17
Ronald Lischeid,0.42,1.06,0.20,3.20,6.08,0.00,2.27,2.73,2.09,8.40,0.16,6.05,0.20,0.15,,0.00,0.48,5.43,0.00
Theron Preston Washington,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
Tom Hoch,13.22,14.02,14.37,9.59,13.95,0.00,9.55,5.66,9.55,9.24,37.49,11.93,10.35,12.02,13.23,0.00,,7.07,4.35
Troy Benjegerdes,0.56,0.93,0.13,1.14,1.30,0.00,2.73,2.31,2.69,6.72,0.19,2.12,0.10,0.08,2.46,0.00,0.26,,0.72
writeIns,0.28,0.13,0.12,0.23,2.35,0.00,0.45,0.21,0.30,0.00,0.11,1.80,0.12,0.09,0.00,0.00,0.20,0.54,
exhaust,20.11,19.97,16.93,20.09,26.60,0.00,29.09,15.09,23.88,21.01,17.80,30.72,6.87,4.53,25.85,0.00,14.20,22.83,63.04
