,ARNOLD FIELDS,DON MACLEAY,DON PERATA,GREG HARLAND,JEAN QUAN,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE,REBECCA KAPLAN,TERENCE CANDELL,writeIns
first_choice,733.00,1630.00,40342.00,966.00,29266.00,14347.00,933.00,2994.00,25813.00,2315.00,268.00
ARNOLD FIELDS,,49.00,479.00,103.00,284.00,283.00,29.00,52.00,206.00,70.00,5.00
DON MACLEAY,40.00,,404.00,85.00,510.00,304.00,34.00,39.00,411.00,34.00,6.00
DON PERATA,79.00,68.00,,109.00,6096.00,2867.00,147.00,668.00,3993.00,487.00,32.00
GREG HARLAND,90.00,36.00,561.00,,276.00,654.00,22.00,36.00,133.00,79.00,2.00
JEAN QUAN,91.00,827.00,11601.00,112.00,,2990.00,119.00,585.00,11955.00,330.00,33.00
JOE TUMAN,114.00,120.00,5687.00,187.00,3885.00,,68.00,181.00,5477.00,161.00,10.00
LARRY LIONEL ''LL'' YOUNG JR.,37.00,28.00,755.00,23.00,385.00,163.00,,209.00,326.00,176.00,6.00
MARCIE HODGE,33.00,35.00,2360.00,34.00,1491.00,493.00,112.00,,930.00,296.00,5.00
REBECCA KAPLAN,59.00,343.00,8053.00,73.00,11590.00,4755.00,130.00,465.00,,241.00,18.00
TERENCE CANDELL,70.00,36.00,1630.00,73.00,709.00,325.00,102.00,282.00,403.00,,1.00
writeIns,5.00,10.00,234.00,8.00,113.00,56.00,11.00,12.00,60.00,12.00,
exhaust,115.00,78.00,8578.00,159.00,3927.00,1457.00,159.00,465.00,1919.00,429.00,150.00
