,ARNOLD FIELDS,DON MACLEAY,DON PERATA,GREG HARLAND,JEAN QUAN,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE,REBECCA KAPLAN,TERENCE CANDELL,writeIns
first_choice,0.61,1.36,33.73,0.81,24.47,12.00,0.78,2.50,21.58,1.94,0.22
ARNOLD FIELDS,,3.16,1.51,12.76,1.12,2.20,3.75,2.06,0.86,3.71,4.24
DON MACLEAY,6.47,,1.27,10.53,2.01,2.36,4.39,1.54,1.72,1.80,5.08
DON PERATA,12.78,4.38,,13.51,24.06,22.24,18.99,26.41,16.71,25.82,27.12
GREG HARLAND,14.56,2.32,1.77,,1.09,5.07,2.84,1.42,0.56,4.19,1.69
JEAN QUAN,14.72,53.29,36.52,13.88,,23.20,15.37,23.13,50.03,17.50,27.97
JOE TUMAN,18.45,7.73,17.90,23.17,15.33,,8.79,7.16,22.92,8.54,8.47
LARRY LIONEL ''LL'' YOUNG JR.,5.99,1.80,2.38,2.85,1.52,1.26,,8.26,1.36,9.33,5.08
MARCIE HODGE,5.34,2.26,7.43,4.21,5.88,3.82,14.47,,3.89,15.69,4.24
REBECCA KAPLAN,9.55,22.10,25.35,9.05,45.74,36.89,16.80,18.39,,12.78,15.25
TERENCE CANDELL,11.33,2.32,5.13,9.05,2.80,2.52,13.18,11.15,1.69,,0.85
writeIns,0.81,0.64,0.74,0.99,0.45,0.43,1.42,0.47,0.25,0.64,
