,CAT BROOKS,CEDRIC A. TROUPE,JESSE A.J. SMITH,KEN HOUSTON,LIBBY SCHAAF,MARCHON TATMON,NANCY SIDEBOTHAM,PAMELA PRICE,PETER YUAN LIU,SAIED KARAMOOZ
first_choice,25.70,0.71,0.47,1.66,53.27,1.33,1.11,13.11,0.74,1.89
CAT BROOKS,,15.43,13.19,15.15,21.71,17.27,6.91,40.05,5.32,40.67
CEDRIC A. TROUPE,1.20,,9.56,9.43,1.17,5.20,7.19,2.14,3.69,3.06
JESSE A.J. SMITH,0.78,9.04,,3.90,0.95,1.75,3.74,1.49,4.72,2.20
KEN HOUSTON,1.38,10.28,9.02,,1.54,5.25,8.72,2.35,9.09,2.46
LIBBY SCHAAF,18.28,7.98,11.04,12.27,,15.33,13.48,25.67,17.84,13.51
MARCHON TATMON,1.91,5.76,2.83,5.15,2.11,,7.25,5.64,4.55,2.86
NANCY SIDEBOTHAM,0.85,7.09,7.00,5.08,2.62,3.55,,2.22,9.09,5.52
PAMELA PRICE,58.28,17.29,18.71,14.73,26.59,24.83,11.49,,8.15,19.03
PETER YUAN LIU,0.36,1.77,4.31,3.71,1.47,1.04,5.61,0.65,,1.83
SAIED KARAMOOZ,4.54,7.27,6.86,4.13,3.26,3.60,8.89,3.06,8.15,
exhaust,12.40,18.09,17.50,26.44,38.58,22.19,26.73,16.74,29.42,8.85
