,AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,LONDON BREED,MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,writeIns
first_choice,0.67,6.99,3.81,24.20,36.70,24.47,0.36,2.81,0.00
AMY FARAH WEISS,,4.34,3.26,3.08,2.49,1.82,7.89,5.13,0.00
ANGELA ALIOTO,11.32,,21.71,5.03,21.56,10.20,24.34,31.23,0.00
ELLEN LEE ZHOU,6.92,6.79,,2.56,4.50,1.68,14.61,13.19,0.00
JANE KIM,37.06,15.48,15.62,,28.27,55.40,11.97,7.33,0.00
LONDON BREED,12.10,33.56,30.48,17.93,,28.19,15.66,21.38,100.00
MARK LENO,21.02,25.85,13.29,70.37,38.56,,15.39,17.22,0.00
MICHELLE BRAVO,5.69,3.67,2.50,0.49,1.50,0.65,,4.51,0.00
RICHIE GREENBERG,5.89,10.32,13.14,0.54,3.13,2.05,10.13,,0.00
writeIns,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,
