,ASHLEY H RHODES,CHRIS JACKSON,DEWITT M. LACY,DIANE WESLEY SMITH,ED DONALDSON,ELLSWORTH ''ELL'' JENNISON,ERIC SMITH,GEOFFREA MORRIS,JACKIE NORMAN,JAMES M. CALLOWAY,KRISTINE ENEA,LYNETTE SWEET,M.J. MARIE FRANKLIN,MALIA COHEN,MARLENE TRAN,NYESE JOSHUA,"RODNEY HAMPTON, JR.",STEPHEN WEBER,STEVE MOSS,TERESA DUQUE,TONY KELLY,writeIns
first_choice,1.46,6.11,7.15,2.24,1.13,0.38,2.52,1.87,1.04,2.34,3.05,12.07,0.45,11.78,11.51,0.76,1.33,1.75,11.06,8.09,11.80,0.10
ASHLEY H RHODES,,0.83,0.16,4.51,0.50,2.94,0.89,2.10,5.38,2.40,0.92,0.88,1.23,1.48,0.63,1.48,3.38,2.57,0.46,0.28,0.24,0.00
CHRIS JACKSON,3.46,,8.71,7.52,3.47,8.82,7.14,3.00,8.06,6.71,6.07,7.40,4.94,10.44,4.64,8.15,6.33,3.22,6.09,2.57,7.99,0.00
DEWITT M. LACY,1.92,9.83,,7.02,8.91,4.41,10.94,3.90,3.23,6.47,8.82,8.19,3.70,8.73,1.61,6.67,4.22,4.82,6.50,1.46,34.25,11.76
DIANE WESLEY SMITH,9.62,2.02,1.41,,1.98,1.47,1.79,4.50,6.99,6.00,1.47,3.81,0.00,4.43,0.73,8.89,3.80,4.82,0.96,0.35,0.57,0.00
ED DONALDSON,0.38,2.02,1.33,0.50,,0.00,1.79,3.00,0.54,1.92,1.47,2.42,0.00,0.86,0.44,2.22,5.49,1.93,1.02,0.14,0.62,0.00
ELLSWORTH ''ELL'' JENNISON,1.15,0.28,0.16,1.75,0.50,,0.00,0.30,0.54,1.44,0.74,0.19,4.94,0.57,0.34,2.96,2.11,2.57,0.76,0.35,0.33,0.00
ERIC SMITH,1.15,3.03,5.26,1.50,1.49,4.41,,0.60,2.69,1.44,6.25,2.14,2.47,6.68,0.49,0.00,2.53,1.29,4.32,0.76,3.81,0.00
GEOFFREA MORRIS,0.38,1.10,1.88,0.25,1.49,0.00,2.23,,2.69,3.12,1.84,1.63,3.70,2.34,0.88,5.19,6.75,0.00,0.96,0.69,0.57,0.00
JACKIE NORMAN,3.85,1.10,0.78,4.01,2.97,2.94,0.67,3.30,,2.64,1.29,2.00,2.47,1.34,0.34,0.00,2.53,0.96,0.51,0.21,0.29,0.00
JAMES M. CALLOWAY,8.08,2.67,1.33,7.02,2.48,5.88,1.79,3.60,1.61,,2.21,3.16,9.88,2.24,2.88,2.22,4.22,3.22,1.68,0.83,0.81,5.88
KRISTINE ENEA,5.00,2.21,3.30,3.26,2.48,5.88,3.12,2.10,2.15,3.12,,2.33,3.70,2.53,1.76,2.22,2.11,6.75,5.79,1.11,4.04,0.00
LYNETTE SWEET,5.38,8.27,7.77,15.04,18.32,4.41,2.68,10.81,10.22,7.43,7.54,,7.41,14.69,2.39,5.19,8.44,3.86,9.95,1.67,4.95,17.65
M.J. MARIE FRANKLIN,0.38,0.18,0.78,1.00,0.99,5.88,0.67,1.20,0.54,2.40,0.74,0.47,,0.19,0.59,1.48,1.69,0.64,0.71,1.53,0.33,0.00
MALIA COHEN,14.23,10.39,30.46,8.52,10.40,2.94,17.86,14.11,10.75,7.19,6.62,14.88,6.17,,2.93,4.44,5.91,8.04,8.02,3.33,4.38,5.88
MARLENE TRAN,8.46,6.62,1.81,2.51,0.99,4.41,1.56,1.80,0.54,5.04,4.41,1.95,8.64,2.77,,6.67,2.53,3.22,3.40,48.37,1.86,0.00
NYESE JOSHUA,1.54,0.28,0.71,1.50,0.00,8.82,0.22,1.50,2.69,2.40,0.92,0.47,7.41,0.72,0.44,,3.80,0.96,0.66,1.04,1.62,0.00
"RODNEY HAMPTON, JR.",3.08,1.29,1.18,1.00,8.42,2.94,0.67,4.80,4.84,3.60,1.29,2.37,4.94,1.43,0.34,5.93,,2.57,1.17,0.90,0.48,0.00
STEPHEN WEBER,4.62,1.19,0.55,1.25,2.48,5.88,1.34,0.30,1.61,2.88,4.60,1.44,1.23,0.91,0.93,1.48,3.80,,2.44,0.62,1.05,0.00
STEVE MOSS,1.54,6.80,7.46,3.76,5.45,2.94,10.04,3.00,3.76,4.80,12.50,8.19,7.41,5.82,3.17,1.48,2.53,10.29,,4.16,15.65,0.00
TERESA DUQUE,0.38,2.21,0.55,1.25,2.48,2.94,0.67,2.40,1.08,2.40,2.57,0.98,4.94,1.53,44.07,3.70,2.11,2.57,2.79,,0.52,0.00
TONY KELLY,3.08,17.74,7.77,1.75,0.99,8.82,20.54,1.50,1.61,3.84,12.13,3.72,3.70,4.24,4.88,12.59,1.69,7.07,18.38,0.83,,0.00
writeIns,0.00,0.18,0.08,0.25,0.00,0.00,0.00,0.30,0.00,0.00,0.18,0.19,0.00,0.10,0.05,0.00,0.00,0.00,0.05,0.07,0.24,
exhaust,22.31,19.76,16.56,24.81,23.27,13.24,13.39,31.83,28.49,22.78,15.44,31.21,11.11,25.99,25.48,17.04,24.05,28.62,23.36,28.73,15.41,58.82
