,ASHLEY H RHODES,CHRIS JACKSON,DEWITT M. LACY,DIANE WESLEY SMITH,ED DONALDSON,ELLSWORTH ''ELL'' JENNISON,ERIC SMITH,GEOFFREA MORRIS,JACKIE NORMAN,JAMES M. CALLOWAY,KRISTINE ENEA,LYNETTE SWEET,M.J. MARIE FRANKLIN,MALIA COHEN,MARLENE TRAN,NYESE JOSHUA,"RODNEY HAMPTON, JR.",STEPHEN WEBER,STEVE MOSS,TERESA DUQUE,TONY KELLY,writeIns
first_choice,1.46,6.11,7.15,2.24,1.13,0.38,2.52,1.87,1.04,2.34,3.05,12.07,0.45,11.78,11.51,0.76,1.33,1.75,11.06,8.09,11.80,0.10
ASHLEY H RHODES,,1.03,0.19,6.00,0.65,3.39,1.03,3.08,7.52,3.11,1.09,1.28,1.39,2.00,0.85,1.79,4.44,3.60,0.60,0.39,0.28,0.00
CHRIS JACKSON,4.46,,10.44,10.00,4.52,10.17,8.25,4.41,11.28,8.70,7.17,10.75,5.56,14.11,6.22,9.82,8.33,4.50,7.95,3.60,9.45,0.00
DEWITT M. LACY,2.48,12.26,,9.33,11.61,5.08,12.63,5.73,4.51,8.39,10.43,11.90,4.17,11.79,2.16,8.04,5.56,6.76,8.48,2.04,40.49,28.57
DIANE WESLEY SMITH,12.38,2.52,1.69,,2.58,1.69,2.06,6.61,9.77,7.76,1.74,5.54,0.00,5.99,0.98,10.71,5.00,6.76,1.26,0.49,0.67,0.00
ED DONALDSON,0.50,2.52,1.60,0.67,,0.00,2.06,4.41,0.75,2.48,1.74,3.52,0.00,1.16,0.59,2.68,7.22,2.70,1.33,0.19,0.73,0.00
ELLSWORTH ''ELL'' JENNISON,1.49,0.34,0.19,2.33,0.65,,0.00,0.44,0.75,1.86,0.87,0.27,5.56,0.77,0.46,3.57,2.78,3.60,0.99,0.49,0.39,0.00
ERIC SMITH,1.49,3.78,6.30,2.00,1.94,5.08,,0.88,3.76,1.86,7.39,3.11,2.78,9.02,0.65,0.00,3.33,1.80,5.63,1.07,4.50,0.00
GEOFFREA MORRIS,0.50,1.37,2.26,0.33,1.94,0.00,2.58,,3.76,4.04,2.17,2.37,4.17,3.16,1.18,6.25,8.89,0.00,1.26,0.97,0.67,0.00
JACKIE NORMAN,4.95,1.37,0.94,5.33,3.87,3.39,0.77,4.85,,3.42,1.52,2.91,2.78,1.80,0.46,0.00,3.33,1.35,0.66,0.29,0.34,0.00
JAMES M. CALLOWAY,10.40,3.32,1.60,9.33,3.23,6.78,2.06,5.29,2.26,,2.61,4.60,11.11,3.03,3.86,2.68,5.56,4.50,2.19,1.17,0.96,14.29
KRISTINE ENEA,6.44,2.75,3.95,4.33,3.23,6.78,3.61,3.08,3.01,4.04,,3.38,4.17,3.41,2.36,2.68,2.78,9.46,7.55,1.56,4.78,0.00
LYNETTE SWEET,6.93,10.31,9.31,20.00,23.87,5.08,3.09,15.86,14.29,9.63,8.91,,8.33,19.85,3.21,6.25,11.11,5.41,12.99,2.34,5.85,42.86
M.J. MARIE FRANKLIN,0.50,0.23,0.94,1.33,1.29,6.78,0.77,1.76,0.75,3.11,0.87,0.68,,0.26,0.79,1.79,2.22,0.90,0.93,2.14,0.39,0.00
MALIA COHEN,18.32,12.94,36.50,11.33,13.55,3.39,20.62,20.70,15.04,9.32,7.83,21.64,6.94,,3.93,5.36,7.78,11.26,10.47,4.67,5.17,14.29
MARLENE TRAN,10.89,8.25,2.16,3.33,1.29,5.08,1.80,2.64,0.75,6.52,5.22,2.84,9.72,3.74,,8.04,3.33,4.50,4.44,67.87,2.19,0.00
NYESE JOSHUA,1.98,0.34,0.85,2.00,0.00,10.17,0.26,2.20,3.76,3.11,1.09,0.68,8.33,0.97,0.59,,5.00,1.35,0.86,1.46,1.91,0.00
"RODNEY HAMPTON, JR.",3.96,1.60,1.41,1.33,10.97,3.39,0.77,7.05,6.77,4.66,1.52,3.45,5.56,1.93,0.46,7.14,,3.60,1.52,1.27,0.56,0.00
STEPHEN WEBER,5.94,1.49,0.66,1.67,3.23,6.78,1.55,0.44,2.26,3.73,5.43,2.10,1.39,1.22,1.24,1.79,5.00,,3.18,0.88,1.24,0.00
STEVE MOSS,1.98,8.48,8.94,5.00,7.10,3.39,11.60,4.41,5.26,6.21,14.78,11.90,8.33,7.86,4.26,1.79,3.33,14.41,,5.84,18.50,0.00
TERESA DUQUE,0.50,2.75,0.66,1.67,3.23,3.39,0.77,3.52,1.50,3.11,3.04,1.42,5.56,2.06,59.14,4.46,2.78,3.60,3.64,,0.62,0.00
TONY KELLY,3.96,22.11,9.31,2.33,1.29,10.17,23.71,2.20,2.26,4.97,14.35,5.41,4.17,5.73,6.55,15.18,2.22,9.91,23.99,1.17,,0.00
writeIns,0.00,0.23,0.09,0.33,0.00,0.00,0.00,0.44,0.00,0.00,0.22,0.27,0.00,0.13,0.07,0.00,0.00,0.00,0.07,0.10,0.28,
