,A. JACKSON MATTESON,ADRIAN BERMUDEZ,AHSHA SAFAI,ELI M. HORN,JOHN AVALOS,JULIO RAMOS,MARY GOODNATURE,MYRNA LIM,RANDY KNOX,writeIns
first_choice,0.00,1.68,24.18,1.60,28.23,14.78,1.86,18.08,9.47,0.12
A. JACKSON MATTESON,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADRIAN BERMUDEZ,0.00,,3.12,3.55,2.77,8.61,7.41,2.15,2.05,0.00
AHSHA SAFAI,0.00,16.63,,15.74,18.48,16.59,15.90,19.39,20.33,0.00
ELI M. HORN,0.00,2.41,2.35,,1.59,2.36,6.97,2.02,5.26,0.00
JOHN AVALOS,0.00,13.73,20.62,11.93,,25.15,8.93,16.88,19.34,3.33
JULIO RAMOS,0.00,27.95,15.83,8.88,23.03,,12.64,17.39,15.15,0.00
MARY GOODNATURE,0.00,6.99,3.32,5.33,1.85,2.85,,7.89,2.87,0.00
MYRNA LIM,100.00,8.92,19.38,11.68,11.27,17.14,23.31,,13.65,6.67
RANDY KNOX,0.00,4.34,13.86,18.02,20.56,7.71,10.46,9.77,,0.00
writeIns,0.00,0.24,0.13,0.25,0.09,0.05,0.00,0.09,0.09,
exhaust,0.00,18.80,21.39,24.62,20.35,19.53,14.38,24.43,21.27,90.00
