,ALICIA WANG,BRIAN J. LARKIN,ERIC MAR,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,JASON JUNGREIS,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,SUE LEE,writeIns
first_choice,14.67,3.47,40.51,1.26,1.13,2.14,1.87,0.89,33.92,0.15
ALICIA WANG,,14.72,41.11,16.31,10.11,11.40,13.19,13.33,62.92,0.00
BRIAN J. LARKIN,5.96,,5.25,10.57,29.60,17.76,15.16,10.67,3.21,33.33
ERIC MAR,23.05,14.23,,16.31,10.11,17.57,13.63,14.67,23.31,50.00
FIDEL CHRYS GAKUBA,3.09,3.68,2.76,,9.39,8.22,9.45,7.56,2.66,0.00
GEORGE FLAMIK,1.79,22.45,1.72,5.74,,6.92,12.75,9.33,1.70,0.00
JASON JUNGREIS,3.81,9.20,4.04,7.85,7.94,,6.37,7.56,2.39,0.00
NICHOLAS C. BELLONI,2.46,13.01,4.15,13.29,11.55,7.85,,26.67,2.75,0.00
SHERMAN R. D''SILVA,1.44,7.85,1.65,4.83,9.03,5.42,10.77,,0.95,0.00
SUE LEE,58.34,14.72,38.71,25.08,11.91,24.67,18.68,10.22,,16.67
writeIns,0.06,0.12,0.60,0.00,0.36,0.19,0.00,0.00,0.12,
