,ANDREW BLEY,F. X. FRANCIS XAVIER CROWLEY,GLENN ROGERS,JOEL ENGARDIO,JULIAN P. LAGOS,LYNN GAVIN,MICHAEL GARCIA,NORMAN YEE,ROBERT J. SQUERI
first_choice,825.00,7746.00,597.00,4168.00,1091.00,719.00,5512.00,9182.00,1545.00
ANDREW BLEY,,158.00,100.00,179.00,77.00,74.00,145.00,307.00,71.00
F. X. FRANCIS XAVIER CROWLEY,122.00,,61.00,845.00,95.00,59.00,1373.00,2797.00,357.00
GLENN ROGERS,99.00,150.00,,119.00,110.00,121.00,117.00,209.00,82.00
JOEL ENGARDIO,95.00,676.00,40.00,,103.00,59.00,966.00,732.00,194.00
JULIAN P. LAGOS,65.00,268.00,81.00,138.00,,112.00,231.00,824.00,72.00
LYNN GAVIN,86.00,201.00,84.00,108.00,137.00,,110.00,408.00,46.00
MICHAEL GARCIA,92.00,1700.00,44.00,947.00,113.00,75.00,,1069.00,292.00
NORMAN YEE,124.00,2540.00,69.00,801.00,287.00,102.00,714.00,,172.00
ROBERT J. SQUERI,49.00,678.00,47.00,286.00,54.00,24.00,799.00,522.00,
exhaust,93.00,1375.00,71.00,745.00,115.00,93.00,1057.00,2314.00,259.00
