,BEVAN DUFTY,CESAR ASCARRUNZ,DAVID CHIU,DENNIS HERRERA,ED LEE,EMIL LAWRENCE,JEFF ADACHI,JOANNA REES,JOHN AVALOS,LELAND YEE,MICHELA ALIOTO-PIER,PAUL CURRIER,PHIL TING,TERRY JOAN BAUM,TONY HALL,WILMA PANG,writeIns
first_choice,4.74,0.28,9.22,11.27,30.75,0.20,6.45,1.60,19.26,7.51,3.42,0.13,0.52,0.86,3.56,0.23,0.02
BEVAN DUFTY,,3.99,6.64,15.97,7.09,3.40,5.69,6.14,5.76,4.12,8.69,5.29,5.94,3.55,3.76,3.11,4.35
CESAR ASCARRUNZ,0.59,,0.16,0.97,0.52,9.18,0.81,1.36,0.85,0.49,1.63,6.25,0.88,0.76,1.53,1.04,4.35
DAVID CHIU,10.58,2.88,,14.08,33.78,5.78,14.34,10.04,8.88,16.71,7.43,3.85,16.61,2.60,4.73,11.92,0.00
DENNIS HERRERA,30.36,12.42,18.61,,9.94,4.76,16.88,12.99,45.94,14.48,14.67,10.10,12.21,4.44,9.90,4.66,8.70
ED LEE,15.30,8.43,28.15,11.19,,8.84,14.49,13.75,4.73,22.34,18.37,8.17,20.90,2.92,24.89,19.43,17.39
EMIL LAWRENCE,0.15,5.10,0.14,0.25,0.29,,0.68,1.93,0.14,0.28,1.38,5.77,0.55,1.33,1.82,2.59,13.04
JEFF ADACHI,5.68,7.10,11.06,9.76,8.69,9.86,,9.24,8.68,8.12,9.24,11.06,10.67,6.22,18.72,9.07,0.00
JOANNA REES,2.66,5.10,2.65,3.35,2.35,10.20,4.49,,1.20,2.29,9.57,3.37,3.52,2.92,9.53,9.07,0.00
JOHN AVALOS,16.36,16.19,12.80,24.01,4.78,2.72,13.70,6.67,,16.81,7.57,12.02,8.25,63.83,2.64,4.15,8.70
LELAND YEE,6.09,6.65,9.40,8.95,13.78,4.42,8.36,6.82,9.29,,10.07,4.33,8.91,2.66,4.80,7.51,13.04
MICHELA ALIOTO-PIER,7.60,13.30,4.07,6.51,7.82,10.20,7.57,16.17,2.42,7.85,,5.29,4.62,2.66,14.14,5.44,4.35
PAUL CURRIER,0.29,2.44,0.19,0.26,0.22,5.10,0.47,0.72,0.22,0.18,0.54,,0.66,1.08,0.82,3.63,4.35
PHIL TING,1.13,2.44,3.70,1.33,4.76,2.72,2.44,1.63,0.55,2.23,1.07,2.88,,0.82,1.58,4.66,0.00
TERRY JOAN BAUM,1.18,2.66,0.33,0.61,0.35,6.12,0.91,1.70,10.58,0.63,1.79,5.29,1.21,,0.73,8.29,0.00
TONY HALL,1.73,9.31,1.48,2.51,3.27,12.59,8.17,9.05,0.50,2.20,7.22,11.06,3.19,1.27,,5.44,21.74
WILMA PANG,0.29,2.00,0.62,0.25,2.36,3.74,0.97,1.78,0.26,1.26,0.78,5.29,1.87,2.92,0.41,,0.00
writeIns,0.00,0.00,0.00,0.00,0.01,0.34,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,
