,ANDY THORNLEY,BRIAN J. LARKIN,DAVID LEE,JASON JUNGREIS,JONATHAN LYENS,MARJAN PHILHOUR,RICHIE GREENBERG,SAMUEL KWONG,SANDRA LEE FEWER,SHERMAN R. D'SILVA
first_choice,1.14,2.36,10.74,1.93,1.93,35.03,3.09,2.35,39.67,1.76
ANDY THORNLEY,,4.95,0.82,2.94,3.44,1.48,2.96,0.40,2.51,2.15
BRIAN J. LARKIN,7.22,,3.20,7.84,8.02,3.27,15.71,4.84,1.67,9.86
DAVID LEE,3.33,10.31,,8.66,10.15,20.98,10.31,30.24,19.30,14.16
JASON JUNGREIS,4.44,8.03,1.32,,3.76,1.91,7.55,2.69,1.46,5.02
JONATHAN LYENS,11.94,12.05,4.23,6.86,,3.50,5.41,2.28,7.49,4.84
MARJAN PHILHOUR,18.89,14.99,24.57,14.38,19.97,,18.47,23.39,33.07,19.71
RICHIE GREENBERG,2.78,11.38,3.00,27.12,7.04,4.79,,13.71,2.42,10.39
SAMUEL KWONG,1.11,7.10,12.58,3.92,3.93,3.60,5.71,,1.60,2.87
SANDRA LEE FEWER,38.61,12.85,32.33,8.99,28.31,35.96,9.29,8.06,,15.59
SHERMAN R. D'SILVA,2.50,8.03,3.06,10.13,6.22,2.28,7.04,3.76,1.97,
exhaust,9.17,10.31,14.87,9.15,9.17,22.22,17.55,10.62,28.52,15.41
