Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,19896,5.7597507036590265,5.0
"Bellew, Carole K.",729,6.187928669410151,5
"Davis, Henrietta",1831,6.256690333151283,6
"DeBergalis, Matt S.",1203,5.4197838736492105,4
"Decker, Marjorie C.",1367,6.058522311631309,5
"Dixon, Vincent Lawrence",64,8.234375,6.0
"Galluccio, Anthony D.",2977,5.417870339267719,4
"Greenwood, Dan J.",39,6.102564102564102,5
"Hall, Robert L., Sr.",93,6.688172043010753,5
"Kelley, Craig A.",983,5.619532044760936,5
"King, Ethridge A., Jr.",353,5.909348441926346,5
"LaTremouille, Robert J.",122,5.80327868852459,5.0
"Maher, David P.",1177,5.419711129991504,5
"Murphy, Brian",1356,6.122418879056047,6.0
"Pitkin, John",1005,6.189054726368159,5
"Reeves, Kenneth E.",1509,5.904572564612326,5
"Simmons, Denise",1165,6.152789699570816,5
"Smith, Aimee Louise",477,6.331236897274633,5
"Sullivan, Michael A.",1634,5.444920440636475,4.0
"Taymorberry, Laurie",176,6.1022727272727275,5.0
"Toomey, Timothy J., Jr.",1599,4.91682301438399,4
writeIns,37,4.351351351351352,4
