Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,15453,3.70232317349382,3
"Fantini, Alfred B.",2278,3.2831431079894644,3.0
"Grassi, Joseph G.",1990,3.252261306532663,3.0
"Harding, Richard, Jr.",1979,3.482566953006569,3
"Lummis, Ben",1512,3.9133597883597884,3.0
"McGovern, Marc C.",1411,3.9673990077958896,4
"Nolan, Patricia M.",2385,4.080922431865828,4
"Schuster, Luc",1842,3.9391965255157437,4.0
"Walser, Nancy",2001,3.8780609695152424,3
writeIns,55,1.9090909090909092,1
