Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,59426,2.3341971527614174,3.0
ANNIE YOUNG,9286,2.4133103596812404,3.0
CASPER HILL,1280,2.43515625,3.0
HASHIM YONIS,3758,1.5965939329430547,1.0
ISHMAEL ISRAEL,3303,2.331819557977596,3
JASON STONE,5354,2.5113933507657826,3.0
JOHN ERWIN,14673,2.511960744224085,3
MARY LYNN MCPHERSON,3373,2.391935962051586,3
MEG FORNEY,7851,2.2361482613679784,3
STEVE BARLAND,3703,2.1801242236024843,3
TOM NORDYKE,6505,2.3134511913912377,2
writeIns,340,1.2735294117647058,1.0
