Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,84288,2.4102126044039482,3.0
Bob Sullentrop,1657,2.355461677730839,3
Charlie Casserly,3752,2.3043710021321964,3.0
Devin Hogan,6239,2.569963135117807,3
Jonathan Honerbrink,2613,2.31611174894757,3
Latrisha Vetaw,18510,2.4847649918962724,3.0
Londel French,12399,2.5102024356802968,3
Meg Forney,19002,2.2618671718766445,3.0
Mike Derus,10670,2.2964386129334584,3.0
Russ Henry,9053,2.5879818844581908,3
Scott Vreeland,3,3.0,3
writeIns,390,1.2282051282051283,1.0
