Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,119607,2.5783357161370155,3
ARNOLD FIELDS,733,2.5607094133697137,3
DON MACLEAY,1630,2.8294478527607363,3.0
DON PERATA,40342,2.4537702642407417,3.0
GREG HARLAND,966,2.541407867494824,3.0
JEAN QUAN,29266,2.587712704161826,3.0
JOE TUMAN,14347,2.675263121210009,3
LARRY LIONEL ''LL'' YOUNG JR.,933,2.553054662379421,3
MARCIE HODGE,2994,2.5791583166332663,3.0
REBECCA KAPLAN,25813,2.708790144500833,3
TERENCE CANDELL,2315,2.522246220302376,3
writeIns,268,1.7686567164179106,1.0
