Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,28756,2.3333217415495895,3.0
ALICIA WANG,4218,2.5424371740161216,3.0
BRIAN J. LARKIN,998,2.530060120240481,3.0
ERIC MAR,11649,2.162331530603485,3
FIDEL CHRYS GAKUBA,363,2.7052341597796143,3
GEORGE FLAMIK,325,2.609230769230769,3
JASON JUNGREIS,614,2.6254071661237783,3.0
NICHOLAS C. BELLONI,537,2.60707635009311,3
SHERMAN R. D''SILVA,257,2.595330739299611,3
SUE LEE,9753,2.3683994668307187,3
writeIns,42,1.2142857142857142,1.0
