Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,194418,2.5706158894752544,3.0
BEVAN DUFTY,9208,2.6659426585577757,3.0
CESAR ASCARRUNZ,537,2.5847299813780262,3
DAVID CHIU,17921,2.6687126834440043,3
DENNIS HERRERA,21914,2.6183261841745002,3.0
ED LEE,59775,2.449853617733166,3
EMIL LAWRENCE,382,2.4528795811518322,3.0
JEFF ADACHI,12534,2.603398755385352,3.0
JOANNA REES,3104,2.5885953608247423,3.0
JOHN AVALOS,37445,2.7091734543997865,3
LELAND YEE,14609,2.5369977411184887,3
MICHELA ALIOTO-PIER,6648,2.4422382671480145,3.0
PAUL CURRIER,248,2.625,3.0
PHIL TING,1016,2.7086614173228347,3.0
TERRY JOAN BAUM,1665,2.8252252252252252,3
TONY HALL,6930,2.3793650793650793,3.0
WILMA PANG,444,2.6373873873873874,3.0
writeIns,38,2.1052631578947367,2.5
