Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,15391,2.664609187187317,2
(undeclared),148,1.8581081081081081,1.0
Amy Klobuchar,140,3.835714285714286,4.0
Bernie Sanders,3680,2.7706521739130436,2.0
Elizabeth Warren,689,3.8955007256894048,4
Joseph R. Biden,10105,2.473132112815438,2
Michael R. Bloomberg,154,3.7662337662337664,4.0
Pete Buttigieg,294,4.01360544217687,5.0
Tom Steyer,47,3.8297872340425534,5
Tulsi Gabbard,134,2.8955223880597014,3.0
