candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer
Lisa Feldstein,9.277,3257.0,8,9.302,3265.0,9,9.331,3274.0,4,9.345,3278.0,11,9.381,3289.0,20,9.452,3309.0,14,9.505,3323.0,58,9.69,3381.0,49,9.857,3430.0,54,10.046,3484.0,82,10.325,3566.0,105,10.715,3671.0,94,11.064,3765.0,86,11.442,3851.0,219,12.273,4070.0,243,13.242,4313.0,323,14.568,4636.0,123,15.475,4759.0,305,17.445,5064.0,564,21.554,5628.0,-5628
Robert Haaland,14.595,5124.0,2,14.604,5126.0,4,14.62,5130.0,3,14.634,5133.0,13,14.677,5146.0,34,14.796,5180.0,12,14.85,5192.0,34,14.979,5226.0,28,15.099,5254.0,64,15.334,5318.0,66,15.589,5384.0,77,15.94,5461.0,77,16.274,5538.0,90,16.722,5628.0,112,17.309,5740.0,216,18.286,5956.0,363,19.856,6319.0,90,20.84,6409.0,227,22.861,6636.0,636,27.85,7272.0,961
Bill Barnes,4.74,1664.0,6,4.758,1670.0,1,4.762,1671.0,3,4.772,1674.0,6,4.792,1680.0,10,4.827,1690.0,19,4.888,1709.0,10,4.927,1719.0,12,4.975,1731.0,20,5.049,1751.0,53,5.223,1804.0,67,5.461,1871.0,74,5.716,1945.0,32,5.874,1977.0,41,6.085,2018.0,124,6.576,2142.0,-2142,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Phillip House,0.177,62.0,0,0.177,62.0,-62,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Ross Mirkarimi,28.332,9947.0,3,28.347,9950.0,2,28.363,9952.0,9,28.398,9961.0,8,28.432,9969.0,27,28.552,9996.0,38,28.7,10034.0,60,28.931,10094.0,64,29.192,10158.0,103,29.588,10261.0,126,30.075,10387.0,85,30.567,10472.0,163,31.253,10635.0,131,31.987,10766.0,180,33.008,10946.0,316,34.577,11262.0,397,36.636,11659.0,262,38.764,11921.0,366,42.328,12287.0,924,50.596,13211.0,1182
Julian Davis,1.191,418.0,4,1.202,422.0,7,1.223,429.0,3,1.232,432.0,11,1.263,443.0,19,1.32,462.0,5,1.336,467.0,14,1.379,481.0,-481,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Vivian Wilder,0.37,130.0,4,0.382,134.0,1,0.385,135.0,3,0.393,138.0,-138,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Nick Waugh,8.616,3025.0,0,8.618,3025.0,2,8.627,3027.0,3,8.638,3030.0,5,8.656,3035.0,18,8.72,3053.0,17,8.781,3070.0,20,8.856,3090.0,28,8.961,3118.0,69,9.19,3187.0,56,9.39,3243.0,53,9.621,3296.0,95,9.965,3391.0,50,10.224,3441.0,99,10.675,3540.0,192,11.458,3732.0,168,12.255,3900.0,163,13.212,4063.0,978,17.366,5041.0,-5041,0.0,0.0,0
Brett Wheeler,2.37,832.0,1,2.373,833.0,2,2.38,835.0,4,2.392,839.0,6,2.41,845.0,26,2.488,871.0,10,2.52,881.0,15,2.568,896.0,33,2.67,929.0,22,2.742,951.0,44,2.881,995.0,31,2.995,1026.0,-1026,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Andrew Sullivan,7.055,2477.0,1,7.06,2478.0,1,7.065,2479.0,12,7.102,2491.0,3,7.113,2494.0,7,7.144,2501.0,49,7.294,2550.0,20,7.366,2570.0,10,7.414,2580.0,59,7.61,2639.0,24,7.711,2663.0,53,7.928,2716.0,55,8.143,2771.0,60,8.411,2831.0,39,8.654,2870.0,112,9.155,2982.0,86,9.641,3068.0,533,11.709,3601.0,-3601,0.0,0.0,0,0.0,0.0,0
