candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer
Sheela Kini,1.103,349.0,18,1.161,367.0,-367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milton `Rennie` O`Brien,7.497,2372.0,38,7.626,2410.0,71,7.861,2481.0,44,8.028,2525.0,63,8.262,2588.0,103,8.64,2691.0,156,9.21,2847.0,243,10.106,3090.0,210,11.004,3300.0,499,13.128,3799.0,584,16.157,4383.0,-4383,0.0,0.0,0.0
Isaac Wang,8.622,2728.0,29,8.724,2757.0,28,8.825,2785.0,28,8.943,2813.0,55,9.156,2868.0,58,9.394,2926.0,81,9.727,3007.0,103,10.171,3110.0,153,10.88,3263.0,270,12.209,3533.0,-3533,0.0,0.0,0,0.0,0.0,0.0
Svelana Kaff,1.726,546.0,27,1.813,573.0,19,1.876,592.0,13,1.923,605.0,-605,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Vernon C. Grigg III,6.609,2091.0,13,6.657,2104.0,10,6.699,2114.0,37,6.839,2151.0,35,6.979,2186.0,66,7.23,2252.0,71,7.515,2323.0,128,8.016,2451.0,-2451,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
David Parker,1.1,348.0,-348,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Pat Lakey,2.412,763.0,20,2.478,783.0,21,2.548,804.0,19,2.617,823.0,17,2.682,840.0,-840,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Shawn Reifsteck,3.502,1108.0,28,3.594,1136.0,51,3.761,1187.0,23,3.847,1210.0,26,3.946,1236.0,50,4.129,1286.0,102,4.49,1388.0,-1388,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Gregory Corrales,8.091,2560.0,29,8.192,2589.0,29,8.296,2618.0,40,8.45,2658.0,63,8.687,2721.0,46,8.884,2767.0,111,9.31,2878.0,68,9.635,2946.0,164,10.37,3110.0,-3110,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Christine Linnenbach,21.442,6784.0,33,21.57,6817.0,48,21.753,6865.0,97,22.134,6962.0,116,22.597,7078.0,153,23.216,7231.0,221,24.106,7452.0,330,25.451,7782.0,708,28.309,8490.0,670,31.654,9160.0,518,35.677,9678.0,813,43.128,10491.0,-10491
Art Belenson,1.612,510.0,7,1.636,517.0,11,1.673,528.0,-528,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
Sean R. Elsbernd,33.203,10505.0,42,33.372,10547.0,21,33.486,10568.0,99,33.913,10667.0,73,34.288,10740.0,144,34.944,10884.0,134,35.642,11018.0,180,36.622,11198.0,629,39.436,11827.0,619,43.009,12446.0,620,48.166,13066.0,768,56.872,13834.0,2837
Michael Patrick Mallen,3.082,975.0,29,3.177,1004.0,13,3.223,1017.0,23,3.306,1040.0,26,3.403,1066.0,44,3.564,1110.0,-1110,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
exhaust,0.0,0.0,35,0.0,35.0,45,0.0,80.0,105,0.0,185.0,131,0.0,316.0,176,0.0,492.0,234,0.0,726.0,336,0.0,1062.0,587,0.0,1649.0,1052,0.0,2701.0,1811,0.0,4512.0,2802,0.0,7314.0,7654
colsum,100.001,31639.0,0,100.00000000000001,31639.0,0,100.00099999999999,31639.0,0.0,99.99999999999999,31639.0,0.0,100.0,31639.0,0.0,100.001,31639.0,0.0,100.0,31639.0,0.0,100.001,31639.0,0.0,99.999,31639.0,0.0,100.0,31639.0,0.0,100.0,31639.0,0.0,100.0,31639.0,0.0
