candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer
A. JACKSON MATTESON,0.004,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JULIO RAMOS,14.777,3646.0,0.0,14.777,3646.0,0.0,14.793,3646.0,35.0,14.995,3681.0,119.0,15.531,3800.0,84.0,15.942,3884.0,437.0,18.212,4321.0,-4321.0,0.0,0.0,0.0,0.0,0.0,
RANDY KNOX,9.472,2337.0,0.0,9.472,2337.0,0.0,9.482,2337.0,71.0,9.809,2408.0,20.0,9.924,2428.0,59.0,10.208,2487.0,-2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AHSHA SAFAI,24.176,5965.0,0.0,24.176,5965.0,0.0,24.203,5965.0,62.0,24.552,6027.0,73.0,24.932,6100.0,90.0,25.407,6190.0,537.0,28.353,6727.0,884.0,33.937,7611.0,1481.0,47.067,9092.0,
MYRNA LIM,18.085,4462.0,1.0,18.089,4463.0,2.0,18.117,4465.0,46.0,18.376,4511.0,44.0,18.617,4555.0,123.0,19.201,4678.0,375.0,21.297,5053.0,876.0,26.437,5929.0,-5929.0,0.0,0.0,
writeIns,0.122,30.0,0.0,0.122,30.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ELI M. HORN,1.597,394.0,0.0,1.597,394.0,0.0,1.599,394.0,-394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ADRIAN BERMUDEZ,1.682,415.0,0.0,1.682,415.0,0.0,1.684,415.0,14.0,1.748,429.0,-429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MARY GOODNATURE,1.86,459.0,0.0,1.86,459.0,0.0,1.862,459.0,21.0,1.955,480.0,30.0,2.084,510.0,-510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOHN AVALOS,28.225,6964.0,0.0,28.225,6964.0,1.0,28.26,6965.0,47.0,28.564,7012.0,62.0,28.912,7074.0,50.0,29.241,7124.0,501.0,32.138,7625.0,1262.0,39.626,8887.0,1338.0,52.933,10225.0,
exhaust,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,98.0,0.0,125.0,81.0,0.0,206.0,104.0,0.0,310.0,637.0,0.0,947.0,1299.0,0.0,2246.0,3110.0,0.0,5356.0,
colsum,100.0,24673.0,0.0,100.0,24673.0,0.0,100.0,24673.0,0.0,99.999,24673.0,0.0,100.0,24673.0,0.0,99.99900000000001,24673.0,0.0,100.0,24673.0,0.0,100.0,24673.0,0.0,100.0,24673.0,
