candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer
TOM VALTIN,3.255,862.0,0.0,3.258,862.0,54,3.473,916.0,-916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERIC STOREY,3.043,806.0,0.0,3.047,806.0,120,3.511,926.0,121,3.991,1047.0,-1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writeIns,0.147,39.0,-39,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAVID CAMPOS,35.747,9468.0,4,35.804,9472.0,43,36.072,9515.0,246,37.206,9761.0,163,38.474,9924.0,463,41.591,10387.0,2250,53.834,12637.0,6665
EVA ROYALE,6.955,1842.0,0,6.963,1842.0,69,7.245,1911.0,127,7.768,2038.0,215,8.735,2253.0,-2253,0.0,0.0,0,0.0,0.0,0
VERN MATHEWS,1.771,469.0,1,1.777,470.0,-470,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ERIC QUEZADA,20.207,5352.0,3,20.242,5355.0,27,20.403,5382.0,124,20.987,5506.0,96,21.718,5602.0,362,23.881,5964.0,-5964,0.0,0.0,0
MARK SANCHEZ,28.876,7648.0,0,28.909,7648.0,80,29.297,7728.0,155,30.048,7883.0,132,31.073,8015.0,608,34.528,8623.0,2214,46.166,10837.0,-10837
exhaust,0.0,0.0,31,0.0,31.0,77,0.0,108.0,143,0.0,251.0,441,0.0,692.0,820,0.0,1512.0,1500,0.0,3012.0,4172
colsum,100.001,26486.0,0.0,100.0,26486.0,0,100.001,26486.0,0,100.0,26486.0,0.0,100.0,26486.0,0.0,100.0,26486.0,0.0,100.0,26486.0,0.0
