candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer,r16_percent,r16_count,r16_transfer,r17_percent,r17_count,r17_transfer,r18_percent,r18_count,r18_transfer,r19_percent,r19_count,r19_transfer,r20_percent,r20_count,r20_transfer,r21_percent,r21_count,r21_transfer,r22_percent,r22_count,r22_transfer,r23_percent,r23_count,r23_transfer,r24_percent,r24_count,r24_transfer,r25_percent,r25_count,r25_transfer,r26_percent,r26_count,r26_transfer,r27_percent,r27_count,r27_transfer,r28_percent,r28_count,r28_transfer,r29_percent,r29_count,r29_transfer,r30_percent,r30_count,r30_transfer,r31_percent,r31_count,r31_transfer,r32_percent,r32_count,r32_transfer,r33_percent,r33_count,r33_transfer,r34_percent,r34_count,r34_transfer,r35_percent,r35_count,r35_transfer
ALICIA K. BENNETT,0.446,354.0,0.0,0.446,354.0,0.0,0.446,354.0,1,0.447,355.0,0.0,0.447,355.0,3,0.451,358.0,1,0.452,359.0,3,0.456,362.0,4,0.462,366.0,1,0.463,367.0,3,0.467,370.0,6,0.475,376.0,5,0.481,381.0,1,0.483,382.0,0.0,0.483,382.0,11,0.497,393.0,2,0.5,395.0,1,0.501,396.0,20,0.527,416.0,9,0.539,425.0,6,0.547,431.0,3,0.551,434.0,3,0.556,437.0,6,0.566,443.0,-443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOB FINE,2.646,2101.0,2,2.648,2103.0,1,2.65,2104.0,2,2.653,2106.0,4,2.658,2110.0,3,2.662,2113.0,2,2.665,2115.0,1,2.667,2116.0,3,2.672,2119.0,2,2.676,2121.0,1,2.678,2122.0,3,2.683,2125.0,10,2.697,2135.0,2,2.7,2137.0,4,2.707,2141.0,6,2.716,2147.0,0,2.717,2147.0,8,2.728,2155.0,13,2.747,2168.0,4,2.754,2172.0,4,2.761,2176.0,6,2.772,2182.0,16,2.797,2198.0,6,2.814,2204.0,19,2.844,2223.0,13,2.865,2236.0,19,2.908,2255.0,31,2.962,2286.0,57,3.055,2343.0,74,3.163,2417.0,142,3.382,2559.0,-2559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTOPHER ROBIN ZIMMERMAN,0.217,172.0,0,0.217,172.0,1,0.218,173.0,0,0.218,173.0,4,0.223,177.0,1,0.224,178.0,1,0.226,179.0,3,0.229,182.0,3,0.233,185.0,0,0.233,185.0,1,0.235,186.0,2,0.237,188.0,2,0.24,190.0,2,0.243,192.0,2,0.245,194.0,0,0.245,194.0,-194,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTOPHER CLARK,0.242,192.0,2,0.244,194.0,0,0.244,194.0,0,0.244,194.0,1,0.246,195.0,0,0.246,195.0,0,0.246,195.0,3,0.25,198.0,2,0.252,200.0,2,0.255,202.0,0,0.255,202.0,1,0.256,203.0,2,0.259,205.0,1,0.26,206.0,6,0.268,212.0,0,0.268,212.0,54,0.337,266.0,14,0.354,280.0,3,0.359,283.0,0,0.359,283.0,4,0.364,287.0,-287,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KURTIS W. HANNA,0.252,200.0,0,0.252,200.0,1,0.253,201.0,1,0.254,202.0,0,0.254,202.0,0,0.255,202.0,0,0.255,202.0,2,0.257,204.0,0,0.257,204.0,0,0.257,204.0,2,0.26,206.0,1,0.261,207.0,0,0.261,207.0,7,0.27,214.0,0,0.271,214.0,2,0.273,216.0,6,0.281,222.0,-222,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOUG MANN,0.981,779.0,4,0.986,783.0,4,0.991,787.0,3,0.995,790.0,2,0.998,792.0,0,0.998,792.0,4,1.003,796.0,1,1.005,797.0,1,1.006,798.0,4,1.012,802.0,7,1.021,809.0,4,1.026,813.0,3,1.031,816.0,15,1.05,831.0,5,1.057,836.0,5,1.064,841.0,5,1.071,846.0,17,1.092,863.0,4,1.099,867.0,32,1.14,899.0,62,1.219,961.0,10,1.234,971.0,22,1.264,993.0,3,1.272,996.0,6,1.282,1002.0,87,1.395,1089.0,17,1.426,1106.0,-1106,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPTAIN JACK SPARROW,0.334,265.0,1,0.335,266.0,0,0.335,266.0,6,0.343,272.0,1,0.344,273.0,1,0.345,274.0,0,0.345,274.0,1,0.347,275.0,3,0.351,278.0,6,0.358,284.0,4,0.363,288.0,5,0.37,293.0,2,0.373,295.0,4,0.378,299.0,5,0.384,304.0,3,0.388,307.0,2,0.391,309.0,16,0.411,325.0,4,0.417,329.0,4,0.422,333.0,8,0.433,341.0,11,0.447,352.0,-352,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"JAMES ""JIMMY"" L. STROUD, JR.",0.082,65.0,0,0.082,65.0,0,0.082,65.0,2,0.084,67.0,0,0.084,67.0,-67,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEPHANIE WOODRUFF,1.277,1014.0,1,1.278,1015.0,1,1.28,1016.0,1,1.281,1017.0,1,1.282,1018.0,0,1.283,1018.0,4,1.288,1022.0,1,1.289,1023.0,4,1.295,1027.0,2,1.298,1029.0,0,1.299,1029.0,4,1.304,1033.0,6,1.312,1039.0,8,1.323,1047.0,7,1.332,1054.0,6,1.341,1060.0,0,1.341,1060.0,3,1.346,1063.0,15,1.366,1078.0,7,1.376,1085.0,4,1.382,1089.0,1,1.385,1090.0,8,1.397,1098.0,17,1.424,1115.0,71,1.517,1186.0,12,1.535,1198.0,4,1.55,1202.0,37,1.606,1239.0,20,1.641,1259.0,-1259,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEAL BAXTER,0.185,147.0,0,0.185,147.0,1,0.186,148.0,0,0.186,148.0,5,0.193,153.0,0,0.193,153.0,0,0.193,153.0,15,0.212,168.0,4,0.217,172.0,0,0.217,172.0,1,0.218,173.0,3,0.222,176.0,2,0.225,178.0,2,0.227,180.0,-180,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
