candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer
writeIns,0.575,342.0,-342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HASHIM YONIS,6.327,3762.0,5.0,6.366,3767.0,32.0,6.453,3799.0,0.003346562626126732,6.453,3799.003346562626,547.0005549576214,7.511,4346.003901520247,144.00030270415712,7.908,4490.004204224404,81.00010090138571,8.33,4571.00430512579,-4571.00430512579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JASON STONE,9.009,5357.0,7.0,9.065,5364.0,113.0,9.303,5477.0,0.03824162518498587,9.303,5477.038241625184,342.00215256289516,10.057,5819.0403941880795,278.0009921969595,10.738,6097.041386385039,452.00129490111664,11.934,6549.042681286156,192.00038678864522,13.095,6741.043068074801,-6741.043068074801,0.0,0.0,0.0,0.0,0.0,
CASPER HILL,2.153,1280.0,4.0,2.17,1284.0,-1284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MEG FORNEY,13.212,7856.0,8.0,13.29,7864.0,167.0,13.641,8031.0,0.017153235571101842,13.641,8031.017153235571,390.00121081662854,14.554,8421.0183640522,738.0008408448808,16.131,9159.01920489708,670.0007567603927,17.912,9829.019961657472,327.00016816897613,19.729,10156.02012982645,809.0033801964213,22.647,10965.02351002287,1280.0069790125117,29.048,12245.030489035382,
MARY LYNN MCPHERSON,5.672,3373.0,5.0,5.709,3378.0,101.0,5.909,3479.0,0.006222252118929099,5.909,3479.0062222521187,215.0002858872595,6.384,3694.006508139378,-3694.006508139378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ANNIE YOUNG,15.63,9294.0,8.0,15.72,9302.0,150.0,16.054,9452.0,0.062962464684515,16.054,9452.062962464684,603.0017825911475,17.378,10055.064745055832,999.0009081124714,19.468,11054.065653168303,471.0010090138571,21.002,11525.06666218216,502.00031952105473,23.364,12027.066981703214,1859.0147147854163,28.68,13886.08169648863,1158.0117045607426,35.688,15044.093401049373,
JOHN ERWIN,24.684,14678.0,6.0,24.815,14684.0,182.0,25.25,14866.0,-0.25,25.249,14865.75,0.0,25.692,14865.75,0.0,26.181,14865.75,0.0,27.09,14865.75,0.0,28.878,14865.75,0.0,30.703,14865.75,0.0,35.265,14865.75,
ISHMAEL ISRAEL,5.558,3305.0,5.0,5.594,3310.0,64.0,5.731,3374.0,0.009064307816494012,5.731,3374.009064307816,-3374.009064307816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TOM NORDYKE,10.95,6511.0,3.0,11.008,6514.0,81.0,11.202,6595.0,0.06965558993676846,11.202,6595.069655589937,164.0008408448809,11.682,6759.070496434817,242.0007231265976,12.33,7001.071219561415,534.0014294362975,13.731,7535.072648997712,153.0002690703619,14.935,7688.072918068075,1013.0056168438045,17.971,8701.078534911878,-8701.078534911878,0.0,0.0,
STEVE BARLAND,6.231,3705.0,2.0,6.265,3707.0,96.0,6.459,3803.0,0.007348984259383828,6.459,3803.0073489842594,98.00023543656665,6.742,3901.007584420826,212.00058859141663,7.244,4113.008173012242,-4113.008173012242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,289.0,0.0,289.0,298.0,0.0,587.0,0.03600497780169514,0.0,587.0360049778017,1015.0020012108166,0.0,1602.0380061886183,1081.0021525628952,0.0,2683.0401587515134,1905.0035819991926,0.0,4588.043740750706,3397.003161576752,0.0,7985.046902327458,3060.019356249159,0.0,11045.066258576617,6263.059851338625,0.0,17308.12610991524,
colsum,100.00099999999999,59463.0,0.0,100.00199999999998,59463.0,0.0,100.002,59463.0,-2.7755575615628914e-17,100.00099999999999,59463.0,3.410605131648481e-13,100.0,59462.99999999999,-2.2737367544323206e-13,100.0,59463.0,0.0,99.999,59462.99999999999,0.0,100.001,59462.99999999999,-4.547473508864641e-13,100.001,59462.99999999999,1.8189894035458565e-12,100.001,59462.99999999999,
