candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,r9_transfer,r10_percent,r10_count,r10_transfer,r11_percent,r11_count,r11_transfer,r12_percent,r12_count,r12_transfer,r13_percent,r13_count,r13_transfer,r14_percent,r14_count,r14_transfer,r15_percent,r15_count,r15_transfer
SAMMUEL WASHINGTON,0.032,33.0,-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LIBBY SCHAAF,29.484,30041.0,0,29.489,30041.0,28,29.525,30069.0,23,29.561,30092.0,25,29.604,30117.0,16,29.642,30133.0,40,29.723,30173.0,39,29.813,30212.0,44,29.971,30256.0,104,30.149,30360.0,953,31.266,31313.0,1867,33.84,33180.0,6761,42.466,39941.0,3877,49.973,43818.0,4988,63.198,48806.0,
DAN SIEGEL,12.879,13122.0,3,12.884,13125.0,62,12.948,13187.0,16,12.97,13203.0,28,13.006,13231.0,70,13.084,13301.0,52,13.154,13353.0,52,13.228,13405.0,193,13.47,13598.0,965,14.462,14563.0,268,14.809,14831.0,987,16.133,15818.0,1584,18.502,17402.0,-17402,0.0,0.0,0,0.0,0.0,
BRYAN PARKER,7.808,7955.0,3,7.812,7958.0,8,7.822,7966.0,19,7.844,7985.0,35,7.883,8020.0,18,7.907,8038.0,42,7.959,8080.0,62,8.034,8142.0,83,8.148,8225.0,54,8.221,8279.0,272,8.538,8551.0,-8551,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
CHARLES R. WILLIAMS,1.033,1052.0,1,1.034,1053.0,3,1.037,1056.0,10,1.047,1066.0,33,1.08,1099.0,46,1.126,1145.0,27,1.155,1172.0,28,1.184,1200.0,-1200,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
JEAN QUAN,15.515,15808.0,3,15.52,15811.0,16,15.541,15827.0,19,15.566,15846.0,26,15.602,15872.0,34,15.647,15906.0,76,15.744,15982.0,44,15.814,16026.0,112,15.986,16138.0,79,16.104,16217.0,198,16.391,16415.0,741,17.497,17156.0,893,19.19,18049.0,2476,23.408,20525.0,-20525,0.0,0.0,
COURTNEY RUBY,3.057,3115.0,0,3.058,3115.0,16,3.074,3131.0,32,3.107,3163.0,22,3.131,3185.0,19,3.152,3204.0,43,3.199,3247.0,17,3.221,3264.0,56,3.289,3320.0,44,3.341,3364.0,-3364,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
PAT MCCULLOUGH,0.355,362.0,1,0.356,363.0,10,0.366,373.0,10,0.376,383.0,-383,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
JASON ANDERSON,1.521,1550.0,1,1.522,1551.0,25,1.547,1576.0,3,1.551,1579.0,23,1.575,1602.0,15,1.591,1617.0,6,1.599,1623.0,27,1.628,1650.0,91,1.725,1741.0,-1741,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
SAIED KARAMOOZ,0.259,264.0,1,0.26,265.0,-265,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
PETER LIU,0.455,464.0,1,0.456,465.0,14,0.47,479.0,9,0.479,488.0,20,0.499,508.0,21,0.52,529.0,-529,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
JOE TUMAN,12.024,12251.0,0,12.026,12251.0,16,12.045,12267.0,14,12.064,12281.0,28,12.099,12309.0,27,12.135,12336.0,42,12.193,12378.0,42,12.256,12420.0,67,12.369,12487.0,52,12.452,12539.0,801,13.32,13340.0,1533,15.169,14873.0,-14873,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
ERIC WILSON,0.386,393.0,0,0.386,393.0,6,0.392,399.0,17,0.409,416.0,14,0.423,430.0,-430,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
REBECCA KAPLAN,14.421,14693.0,4,14.427,14697.0,21,14.452,14718.0,40,14.498,14758.0,46,14.552,14804.0,65,14.627,14869.0,33,14.68,14902.0,119,14.822,15021.0,164,15.042,15185.0,194,15.272,15379.0,320,15.676,15699.0,1324,17.362,17023.0,1639,19.842,18662.0,4679,26.619,23341.0,5080,36.802,28421.0,
KEN HOUSTON,0.508,518.0,0,0.508,518.0,5,0.514,523.0,13,0.527,536.0,20,0.547,556.0,21,0.568,577.0,27,0.595,604.0,-604,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,
