candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer
"Bowman, Manikka L.",8.859,1488.0,50.0,9.156,1538.0,23.0,9.293,1561.0,2.0,9.327,1563.0,58.0,9.718,1621.0,120.0,10.511,1741.0,166.0,11.659,1907.0,7.0,11.702,1914.0,252.0,13.783,2166.0,9.0,13.84,2175.0,415.0,17.712,2590.0,
"Harding, Jr., Richard",11.841,1989.0,51.0,12.145,2040.0,154.0,13.062,2194.0,4.0,13.117,2198.0,81.0,13.662,2279.0,61.0,14.127,2340.0,98.0,14.906,2438.0,-38.0,14.674,2400.0,0.0,15.272,2400.0,0.0,15.272,2400.0,0.0,16.413,2400.0,
"Weinstein, David J.",4.144,696.0,36.0,4.358,732.0,25.0,4.507,757.0,1.0,4.523,758.0,39.0,4.778,797.0,57.0,5.156,854.0,-854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Dexter, Emily R.",8.347,1402.0,75.0,8.793,1477.0,19.0,8.906,1496.0,3.0,8.946,1499.0,41.0,9.232,1540.0,124.0,10.046,1664.0,94.0,10.748,1758.0,0.0,10.748,1758.0,272.0,12.918,2030.0,3.0,12.937,2033.0,400.0,16.638,2433.0,
"Crutchfield, Jake W.",7.269,1221.0,25.0,7.418,1246.0,10.0,7.478,1256.0,1.0,7.501,1257.0,45.0,7.805,1302.0,105.0,8.494,1407.0,103.0,9.232,1510.0,2.0,9.244,1512.0,-1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Nolan, Patricia M.",17.896,3006.0,-606.0,14.288,2400.0,0.0,14.288,2400.0,0.0,14.322,2400.0,0.0,14.388,2400.0,0.0,14.489,2400.0,0.0,14.674,2400.0,0.0,14.674,2400.0,0.0,15.272,2400.0,0.0,15.272,2400.0,0.0,16.413,2400.0,
"Cronin, Fran Albin",8.442,1418.0,86.0,8.954,1504.0,47.0,9.234,1551.0,4.0,9.28,1555.0,33.0,9.52,1588.0,98.0,10.179,1686.0,80.0,10.797,1766.0,8.0,10.846,1774.0,125.0,12.084,1899.0,8.0,12.135,1907.0,-1907.0,0.0,0.0,
"Cisternino, Pia",3.911,657.0,58.0,4.257,715.0,16.0,4.352,731.0,1.0,4.368,732.0,31.0,4.574,763.0,-763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.369,62.0,1.0,0.375,63.0,0.0,0.375,63.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kadete, Elechi M.",2.542,427.0,12.0,2.614,439.0,12.0,2.685,451.0,1.0,2.697,452.0,-452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",16.199,2721.0,52.0,16.509,2773.0,-373.0,14.288,2400.0,0.0,14.322,2400.0,0.0,14.388,2400.0,0.0,14.489,2400.0,0.0,14.674,2400.0,0.0,14.674,2400.0,0.0,15.272,2400.0,0.0,15.272,2400.0,0.0,16.413,2400.0,
"Kelly, Kathleen M.",10.18,1710.0,160.0,11.133,1870.0,67.0,11.532,1937.0,6.0,11.595,1943.0,48.0,11.936,1991.0,81.0,12.509,2072.0,105.0,13.31,2177.0,21.0,13.438,2198.0,222.0,15.399,2420.0,-20.0,15.272,2400.0,0.0,16.413,2400.0,
exhaust,0.0,43.0,0.0,0.0,43.0,0.0,0.0,43.0,40.0,0.0,83.0,76.0,0.0,159.0,117.0,0.0,276.0,208.0,0.0,484.0,0.0,0.0,484.0,641.0,0.0,1125.0,0.0,0.0,1125.0,1092.0,0.0,2217.0,
colsum,99.999,16840.0,0.0,100.0,16840.0,0.0,99.99999999999999,16840.0,0.0,99.998,16840.0,0.0,100.001,16840.0,0.0,100.0,16840.0,0.0,100.0,16840.0,0.0,99.99999999999999,16840.0,0.0,100.0,16840.0,0.0,100.00000000000001,16840.0,0.0,100.002,16840.0,
