candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
"Reeves, Kenneth E.",7.595,1525.0,77.0,7.978,1602.0,4.0,8.005,1606.0,1.0,8.011,1607.0,4.0,8.032,1611.0,7.0,8.074,1618.0,12.0,8.141,1630.0,7.0,8.188,1637.0,30.0,8.363,1667.0,28.0,8.531,1695.0,2.0,8.541,1697.0,39.0,8.784,1736.0,1.0,8.789,1737.0,72.0,9.255,1809.0,78.0,9.799,1887.0,16.0,9.882,1903.0,12.0,9.944,1915.0,2.0,9.954,1917.0,211.0,11.604,2128.0,
"Hall, Robert L., Sr.",0.478,96.0,5.0,0.503,101.0,0.0,0.503,101.0,13.0,0.568,114.0,9.0,0.613,123.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Pitkin, John",5.03,1010.0,22.0,5.139,1032.0,1.0,5.149,1033.0,1.0,5.155,1034.0,3.0,5.17,1037.0,7.0,5.21,1044.0,13.0,5.279,1057.0,9.0,5.332,1066.0,25.0,5.474,1091.0,38.0,5.683,1129.0,0.0,5.683,1129.0,92.0,6.178,1221.0,0.0,6.178,1221.0,271.0,7.633,1492.0,-1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"DeBergalis, Matt S.",6.006,1206.0,10.0,6.056,1216.0,0.0,6.061,1216.0,4.0,6.082,1220.0,7.0,6.118,1227.0,2.0,6.133,1229.0,4.0,6.159,1233.0,9.0,6.212,1242.0,41.0,6.437,1283.0,59.0,6.755,1342.0,1.0,6.76,1343.0,99.0,7.296,1442.0,0.0,7.296,1442.0,53.0,7.649,1495.0,138.0,8.48,1633.0,1.0,8.485,1634.0,7.0,8.521,1641.0,1.0,8.526,1642.0,-1642.0,0.0,0.0,
"Decker, Marjorie C.",6.863,1378.0,47.0,7.097,1425.0,2.0,7.113,1427.0,1.0,7.119,1428.0,4.0,7.14,1432.0,5.0,7.171,1437.0,5.0,7.202,1442.0,21.0,7.318,1463.0,23.0,7.455,1486.0,40.0,7.681,1526.0,2.0,7.691,1528.0,112.0,8.298,1640.0,0.0,8.298,1640.0,146.0,9.137,1786.0,305.0,10.858,2091.0,-82.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.955,2009.0,
"Sullivan, Michael A.",8.247,1656.0,237.0,9.427,1893.0,2.0,9.446,1895.0,0.0,9.447,1895.0,5.0,9.473,1900.0,5.0,9.506,1905.0,5.0,9.54,1910.0,8.0,9.594,1918.0,35.0,9.798,1953.0,23.0,9.946,1976.0,0.0,9.946,1976.0,50.0,10.251,2026.0,-17.0,10.165,2009.0,0.0,10.278,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.955,2009.0,
"Davis, Henrietta",9.193,1846.0,50.0,9.442,1896.0,3.0,9.466,1899.0,2.0,9.477,1901.0,3.0,9.493,1904.0,5.0,9.526,1909.0,11.0,9.59,1920.0,30.0,9.754,1950.0,27.0,9.919,1977.0,43.0,10.167,2020.0,-11.0,10.112,2009.0,0.0,10.165,2009.0,0.0,10.165,2009.0,0.0,10.278,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.432,2009.0,0.0,10.955,2009.0,
"Bellew, Carole K.",3.66,735.0,24.0,3.78,759.0,1.0,3.788,760.0,1.0,3.794,761.0,1.0,3.799,762.0,5.0,3.827,767.0,4.0,3.851,771.0,17.0,3.942,788.0,23.0,4.069,811.0,49.0,4.329,860.0,1.0,4.334,861.0,-861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"King, Ethridge A., Jr.",1.798,361.0,11.0,1.853,372.0,2.0,1.864,374.0,3.0,1.879,377.0,4.0,1.9,381.0,6.0,1.931,387.0,12.0,1.993,399.0,7.0,2.031,406.0,-406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kelley, Craig A.",4.94,992.0,21.0,5.045,1013.0,2.0,5.059,1015.0,1.0,5.065,1016.0,5.0,5.09,1021.0,30.0,5.245,1051.0,11.0,5.304,1062.0,8.0,5.352,1070.0,24.0,5.489,1094.0,24.0,5.627,1118.0,2.0,5.637,1120.0,63.0,5.986,1183.0,2.0,5.996,1185.0,-1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Greenwood, Dan J.",0.194,39.0,2.0,0.204,41.0,0.0,0.204,41.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Taymorberry, Laurie",0.936,188.0,5.0,0.961,193.0,0.0,0.962,193.0,0.0,0.962,193.0,1.0,0.967,194.0,3.0,0.983,197.0,11.0,1.039,208.0,-208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Toomey, Timothy J., Jr.",8.033,1613.0,140.0,8.73,1753.0,0.0,8.738,1753.0,0.0,8.739,1753.0,2.0,8.75,1755.0,2.0,8.767,1757.0,7.0,8.811,1764.0,12.0,8.884,1776.0,14.0,8.981,1790.0,15.0,9.085,1805.0,0.0,9.085,1805.0,50.0,9.386,1855.0,12.0,9.447,1867.0,62.0,9.869,1929.0,81.0,10.437,2010.0,12.0,10.5,2022.0,3.0,10.515,2025.0,-16.0,10.432,2009.0,0.0,10.955,2009.0,
writeIns,0.189,38.0,0.0,0.189,38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
