candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer
"Tauber, Nancy",9.385,1246.0,53.0,9.785,1299.0,10.0,9.86,1309.0,3.0,9.9,1312.0,28.0,10.131,1340.0,398.0,13.327,1738.0,19.0,13.473,1757.0,50.0,13.856,1807.0,332.0,17.53,2139.0,
"Malner, Stefan",1.002,133.0,6.0,1.047,139.0,1.0,1.055,140.0,1.0,1.064,141.0,-141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Grassi, Joseph G.",12.27,1629.0,25.0,12.459,1654.0,95.0,13.174,1749.0,2.0,13.212,1751.0,7.0,13.291,1758.0,91.0,14.178,1849.0,17.0,14.309,1866.0,19.0,14.454,1885.0,590.0,20.284,2475.0,
"Schuster, Luc",12.654,1680.0,76.0,13.227,1756.0,6.0,13.272,1762.0,1.0,13.303,1763.0,16.0,13.45,1779.0,169.0,14.938,1948.0,51.0,15.329,1999.0,-102.0,14.546,1897.0,0.0,15.547,1897.0,
"McGovern, Marc C.",17.151,2277.0,-380.0,14.289,1897.0,0.0,14.289,1897.0,0.0,14.314,1897.0,0.0,14.342,1897.0,0.0,14.546,1897.0,0.0,14.546,1897.0,0.0,14.546,1897.0,0.0,15.547,1897.0,
"Fantini, Alfred B.",15.193,2017.0,27.0,15.396,2044.0,-147.0,14.289,1897.0,0.0,14.314,1897.0,0.0,14.342,1897.0,0.0,14.546,1897.0,0.0,14.546,1897.0,0.0,14.546,1897.0,0.0,15.547,1897.0,
"Nolan, Patricia M.",12.594,1672.0,128.0,13.558,1800.0,13.0,13.656,1813.0,3.0,13.703,1816.0,22.0,13.896,1838.0,178.0,15.459,2016.0,-119.0,14.546,1897.0,0.0,14.546,1897.0,0.0,15.547,1897.0,
writeIns,0.271,36.0,0.0,0.271,36.0,0.0,0.271,36.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Lemily Wiggins, Gail",7.713,1024.0,23.0,7.886,1047.0,8.0,7.947,1055.0,1.0,7.968,1056.0,31.0,8.218,1087.0,-1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Harding, Richard, Jr.",11.766,1562.0,42.0,12.082,1604.0,14.0,12.187,1618.0,2.0,12.224,1620.0,11.0,12.331,1631.0,65.0,13.005,1696.0,32.0,13.251,1728.0,33.0,13.504,1761.0,-1761.0,0.0,0.0,
exhaust,0.0,28.0,0.0,0.0,28.0,0.0,0.0,28.0,23.0,0.0,51.0,26.0,0.0,77.0,186.0,0.0,263.0,0.0,0.0,263.0,0.0,0.0,263.0,839.0,0.0,1102.0,
colsum,99.999,13304.0,0.0,100.0,13304.0,0.0,100.0,13304.0,0.0,100.00200000000001,13304.0,0.0,100.001,13304.0,0.0,99.999,13304.0,0.0,100.0,13304.0,0.0,99.998,13304.0,0.0,100.002,13304.0,
