candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer
"Cronin, Fran A.",7.591,1572.0,52.0,7.842,1624.0,3.0,7.879,1627.0,47.0,8.13,1674.0,66.0,8.513,1740.0,11.0,8.567,1751.0,141.0,9.365,1892.0,101.0,10.007,1993.0,27.0,10.142,2020.0,17.0,10.227,2037.0,245.0,11.882,2282.0,-2282.0,0.0,0.0,
"Kelly, Kathleen M.",9.088,1882.0,85.0,9.499,1967.0,1.0,9.531,1968.0,28.0,9.694,1996.0,67.0,10.093,2063.0,14.0,10.161,2077.0,98.0,10.766,2175.0,92.0,11.382,2267.0,34.0,11.553,2301.0,36.0,11.734,2337.0,255.0,13.496,2592.0,755.0,18.462,3347.0,
"Bowman, Manikka L.",13.367,2768.0,109.0,13.893,2877.0,5.0,13.957,2882.0,69.0,14.332,2951.0,97.0,14.912,3048.0,-89.0,14.477,2959.0,0.0,14.646,2959.0,0.0,14.857,2959.0,0.0,14.857,2959.0,0.0,14.857,2959.0,0.0,15.407,2959.0,0.0,16.322,2959.0,
"Fantini, Alfred B.",13.174,2728.0,38.0,13.357,2766.0,1.0,13.4,2767.0,20.0,13.536,2787.0,42.0,13.841,2829.0,6.0,13.87,2835.0,68.0,14.369,2903.0,94.0,15.047,2997.0,32.0,15.208,3029.0,-70.0,14.857,2959.0,0.0,15.407,2959.0,0.0,16.322,2959.0,
"Kadete, Elechi M.",4.085,846.0,18.0,4.172,864.0,1.0,4.189,865.0,42.0,4.405,907.0,49.0,4.677,956.0,6.0,4.706,962.0,61.0,5.064,1023.0,-1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Weinstein, David J.",3.849,797.0,30.0,3.994,827.0,1.0,4.01,828.0,52.0,4.274,880.0,61.0,4.604,941.0,2.0,4.614,943.0,-943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Dexter, Emily R.",11.483,2378.0,95.0,11.942,2473.0,4.0,11.996,2477.0,89.0,12.462,2566.0,140.0,13.239,2706.0,36.0,13.415,2742.0,190.0,14.513,2932.0,177.0,15.61,3109.0,-150.0,14.857,2959.0,0.0,14.857,2959.0,0.0,15.407,2959.0,0.0,16.322,2959.0,
"MacArthur, William",3.839,795.0,12.0,3.897,807.0,0.0,3.908,807.0,57.0,4.196,864.0,-864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mitros, Piotr Flawiusz",2.468,511.0,17.0,2.55,528.0,1.0,2.562,529.0,-529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Nolan, Patricia M.",16.699,3458.0,-499.0,14.289,2959.0,0.0,14.33,2959.0,0.0,14.371,2959.0,0.0,14.477,2959.0,0.0,14.477,2959.0,0.0,14.646,2959.0,0.0,14.857,2959.0,0.0,14.857,2959.0,0.0,14.857,2959.0,0.0,15.407,2959.0,0.0,16.322,2959.0,
writeIns,0.377,78.0,0.0,0.377,78.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kimbrough, Laurance V.",8.963,1856.0,24.0,9.079,1880.0,1.0,9.109,1881.0,34.0,9.301,1915.0,104.0,9.878,2019.0,13.0,9.941,2032.0,61.0,10.36,2093.0,148.0,11.252,2241.0,22.0,11.362,2263.0,14.0,11.432,2277.0,218.0,12.991,2495.0,451.0,16.25,2946.0,
"Crutchfield, Jake W.",5.017,1039.0,19.0,5.109,1058.0,1.0,5.129,1059.0,32.0,5.299,1091.0,88.0,5.768,1179.0,1.0,5.773,1180.0,87.0,6.271,1267.0,125.0,6.989,1392.0,35.0,7.165,1427.0,3.0,7.18,1430.0,-1430.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,21.0,0.0,0.0,21.0,59.0,0.0,80.0,59.0,0.0,139.0,150.0,0.0,289.0,0.0,0.0,289.0,237.0,0.0,526.0,286.0,0.0,812.0,0.0,0.0,812.0,0.0,0.0,812.0,712.0,0.0,1524.0,1076.0,0.0,2600.0,
colsum,99.99999999999999,20729.0,0.0,99.99999999999999,20729.0,0.0,100.0,20729.0,0.0,100.00000000000001,20729.0,0.0,100.00200000000001,20729.0,0.0,100.001,20729.0,0.0,100.0,20729.0,0.0,100.00099999999999,20729.0,0.0,100.00099999999999,20729.0,0.0,100.001,20729.0,0.0,99.99699999999999,20729.0,0.0,100.0,20729.0,
