candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
"Dawson, Bernette J.",5.03,977.0,46.0,5.266,1023.0,7.0,5.302,1030.0,1.0,5.318,1031.0,57.0,5.689,1088.0,132.0,6.518,1220.0,162.0,7.541,1382.0,205.0,8.878,1587.0,205.0,10.025,1792.0,-1792.0,0.0,0.0,
"Lim, Christopher",4.808,934.0,38.0,5.004,972.0,11.0,5.06,983.0,2.0,5.081,985.0,91.0,5.626,1076.0,105.0,6.31,1181.0,-1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Weinstain, Rachel",11.212,2178.0,65.0,11.547,2243.0,16.0,11.629,2259.0,3.0,11.668,2262.0,102.0,12.361,2364.0,174.0,13.561,2538.0,213.0,15.011,2751.0,450.0,17.908,3201.0,-425.0,15.53,2776.0,0.0,16.588,2776.0,
"Weinstein, David J.",5.019,975.0,34.0,5.194,1009.0,7.0,5.23,1016.0,1.0,5.246,1017.0,111.0,5.898,1128.0,85.0,6.481,1213.0,155.0,7.464,1368.0,-1368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Dexter, Emily R.",15.459,3003.0,-227.0,14.291,2776.0,0.0,14.291,2776.0,0.0,14.32,2776.0,0.0,14.516,2776.0,0.0,14.832,2776.0,0.0,15.147,2776.0,0.0,15.53,2776.0,0.0,15.53,2776.0,0.0,16.588,2776.0,
"Wilson, Ayesha",13.858,2692.0,88.0,14.311,2780.0,-4.0,14.291,2776.0,0.0,14.32,2776.0,0.0,14.516,2776.0,0.0,14.832,2776.0,0.0,15.147,2776.0,0.0,15.53,2776.0,0.0,15.53,2776.0,0.0,16.588,2776.0,
"Allen, Ruth Ryan",4.597,893.0,16.0,4.68,909.0,15.0,4.757,924.0,3.0,4.782,927.0,38.0,5.046,965.0,-965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Bowman, Mannika L.",16.005,3109.0,-333.0,14.291,2776.0,0.0,14.291,2776.0,0.0,14.32,2776.0,0.0,14.516,2776.0,0.0,14.832,2776.0,0.0,15.147,2776.0,0.0,15.53,2776.0,0.0,15.53,2776.0,0.0,16.588,2776.0,
writeIns,0.273,53.0,0.0,0.273,53.0,0.0,0.273,53.0,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Kadete, Elechi M.",4.196,815.0,42.0,4.412,857.0,3.0,4.427,860.0,2.0,4.447,862.0,-862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Fantini, Alfred B.",13.704,2662.0,179.0,14.625,2841.0,-65.0,14.291,2776.0,0.0,14.32,2776.0,0.0,14.516,2776.0,0.0,14.832,2776.0,0.0,15.147,2776.0,0.0,15.53,2776.0,0.0,15.53,2776.0,0.0,16.588,2776.0,
"Rojas Villareal, Jose Luis",5.838,1134.0,52.0,6.106,1186.0,10.0,6.157,1196.0,2.0,6.18,1198.0,201.0,7.315,1399.0,61.0,7.801,1460.0,262.0,9.396,1722.0,261.0,11.094,1983.0,220.0,12.324,2203.0,652.0,17.06,2855.0,
exhaust,0.0,43.0,0.0,0.0,43.0,0.0,0.0,43.0,39.0,0.0,82.0,262.0,0.0,344.0,408.0,0.0,752.0,389.0,0.0,1141.0,452.0,0.0,1593.0,0.0,0.0,1593.0,1140.0,0.0,2733.0,
colsum,99.999,19468.0,0.0,100.0,19468.0,0.0,99.99899999999998,19468.0,0.0,100.00200000000001,19468.0,0.0,99.99900000000001,19468.0,0.0,99.99900000000001,19468.0,0.0,100.0,19468.0,0.0,100.0,19468.0,0.0,99.999,19468.0,0.0,100.0,19468.0,
