candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer
Alex Palacios,4.957,384.0,0.0,4.968,384.0,6.0,5.054,390.0,12.0,5.221,402.0,4.0,5.299,406.0,11.0,5.467,417.0,37.0,6.014,454.0,50.0,6.766,504.0,117.0,8.595,621.0,-621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Suud Olat,0.8,62.0,0.0,0.802,62.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abdirizak Bihi,12.936,1002.0,0.0,12.964,1002.0,2.0,13.01,1004.0,3.0,13.078,1007.0,8.0,13.247,1015.0,1.0,13.319,1016.0,18.0,13.697,1034.0,42.0,14.445,1076.0,18.0,15.142,1094.0,47.0,16.46,1141.0,-1141.0,0.0,0.0,0.0,0.0,0.0,
Michael P. Dougherty,5.048,391.0,1.0,5.072,392.0,2.0,5.106,394.0,18.0,5.351,412.0,11.0,5.521,423.0,25.0,5.873,448.0,10.0,6.067,458.0,9.0,6.269,467.0,-467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AK Hassan,13.762,1066.0,0.0,13.792,1066.0,7.0,13.904,1073.0,4.0,13.987,1077.0,11.0,14.2,1088.0,8.0,14.368,1096.0,43.0,15.088,1139.0,84.0,16.418,1223.0,24.0,17.26,1247.0,102.0,19.46,1349.0,88.0,23.534,1437.0,-1437.0,0.0,0.0,
Jamal Osman,27.511,2131.0,0.0,27.571,2131.0,13.0,27.783,2144.0,7.0,27.935,2151.0,29.0,28.452,2180.0,17.0,28.802,2197.0,57.0,29.858,2254.0,61.0,31.078,2315.0,69.0,32.997,2384.0,76.0,35.488,2460.0,118.0,42.221,2578.0,217.0,55.009,2795.0,
AJ Awed,22.231,1722.0,1.0,22.293,1723.0,6.0,22.405,1729.0,16.0,22.662,1745.0,6.0,22.853,1751.0,37.0,23.44,1788.0,33.0,24.122,1821.0,43.0,25.023,1864.0,15.0,26.007,1879.0,103.0,28.592,1982.0,109.0,34.245,2091.0,195.0,44.991,2286.0,
Mohamoud Hassan,1.743,135.0,0.0,1.747,135.0,1.0,1.762,136.0,2.0,1.792,138.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sara Mae Engberg,1.536,119.0,0.0,1.54,119.0,4.0,1.594,123.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joshua Scheunemann,1.562,121.0,0.0,1.566,121.0,3.0,1.607,124.0,18.0,1.844,142.0,2.0,1.879,144.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saciido Shaie,4.299,333.0,0.0,4.308,333.0,2.0,4.341,335.0,6.0,4.429,341.0,6.0,4.529,347.0,3.0,4.588,350.0,39.0,5.153,389.0,-389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.245,19.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nebiha Mohammed,3.369,261.0,0.0,3.377,261.0,4.0,3.434,265.0,20.0,3.701,285.0,23.0,4.02,308.0,8.0,4.143,316.0,-316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,12.0,17.0,0.0,29.0,12.0,0.0,41.0,17.0,0.0,58.0,38.0,0.0,96.0,34.0,0.0,130.0,79.0,0.0,209.0,100.0,0.0,309.0,224.0,0.0,533.0,293.0,0.0,826.0,826.0,0.0,1652.0,1025.0,0.0,2677.0,
colsum,99.99900000000001,7758.0,0.0,99.99999999999999,7758.0,0.0,99.99999999999999,7758.0,0.0,100.0,7758.0,0.0,100.0,7758.0,0.0,100.0,7758.0,0.0,99.99900000000001,7758.0,0.0,99.999,7758.0,0.0,100.001,7758.0,0.0,100.0,7758.0,0.0,100.0,7758.0,0.0,100.0,7758.0,
