candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer
MELANIE SHELBY,11.732,2463.0,3.0,11.775,2466.0,86.0,12.241,2552.0,100.0,12.794,2652.0,365.0,14.762,3017.0,387.0,17.305,3404.0,
RALPH KANZ,4.206,883.0,2.0,4.226,885.0,51.0,4.49,936.0,-936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JASON GILLEN,2.525,530.0,1.0,2.535,531.0,-531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JILL BROADHURST,22.897,4807.0,2.0,22.962,4809.0,69.0,23.398,4878.0,184.0,24.42,5062.0,224.0,25.864,5286.0,542.0,29.627,5828.0,
DANIEL SWAFFORD,11.184,2348.0,3.0,11.226,2351.0,93.0,11.723,2444.0,297.0,13.223,2741.0,145.0,14.121,2886.0,-2886.0,0.0,0.0,
CLINTON KILLIAN,5.421,1138.0,5.0,5.458,1143.0,60.0,5.77,1203.0,70.0,6.141,1273.0,-1273.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.329,69.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LIBBY SCHAAF,41.707,8756.0,2.0,41.818,8758.0,77.0,42.378,8835.0,166.0,43.422,9001.0,248.0,45.254,9249.0,1190.0,53.068,10439.0,
exhaust,0.0,46.0,51.0,0.0,97.0,95.0,0.0,192.0,119.0,0.0,311.0,291.0,0.0,602.0,767.0,0.0,1369.0,
colsum,100.001,21040.0,0.0,100.0,21040.0,0.0,100.0,21040.0,0.0,100.0,21040.0,0.0,100.001,21040.0,0.0,100.0,21040.0,
