candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer
TERENCE CANDELL,1.936,2315.0,1.0,1.939,2316.0,70.0,1.999,2386.0,111.0,2.096,2497.0,116.0,2.197,2613.0,67.0,2.258,2680.0,-2680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GREG HARLAND,0.808,966.0,2.0,0.81,968.0,91.0,0.887,1059.0,28.0,0.912,1087.0,-1087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DON MACLEAY,1.363,1630.0,6.0,1.37,1636.0,41.0,1.405,1677.0,42.0,1.443,1719.0,133.0,1.557,1852.0,-1852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MARCIE HODGE,2.503,2994.0,5.0,2.511,2999.0,34.0,2.542,3033.0,122.0,2.648,3155.0,45.0,2.691,3200.0,50.0,2.738,3250.0,375.0,3.074,3625.0,-3625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ARNOLD FIELDS,0.613,733.0,5.0,0.618,738.0,-738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LARRY LIONEL ''LL'' YOUNG JR.,0.78,933.0,6.0,0.786,939.0,37.0,0.818,976.0,-976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOE TUMAN,11.995,14347.0,10.0,12.019,14357.0,114.0,12.126,14471.0,81.0,12.213,14552.0,228.0,12.427,14780.0,169.0,12.595,14949.0,253.0,12.893,15202.0,260.0,13.24,15462.0,-15462.0,0.0,0.0,0.0,0.0,0.0,
REBECCA KAPLAN,21.582,25813.0,18.0,21.624,25831.0,59.0,21.695,25890.0,136.0,21.842,26026.0,91.0,21.959,26117.0,379.0,22.324,26496.0,335.0,22.756,26831.0,644.0,23.527,27475.0,5244.0,28.899,32719.0,-32719.0,0.0,0.0,
writeIns,0.224,268.0,-268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JEAN QUAN,24.468,29266.0,33.0,24.527,29299.0,92.0,24.628,29391.0,123.0,24.769,29514.0,131.0,24.925,29645.0,855.0,25.697,30500.0,384.0,26.194,30884.0,771.0,27.107,31655.0,3378.0,30.943,35033.0,18864.0,50.957,53897.0,
DON PERATA,33.729,40342.0,32.0,33.798,40374.0,81.0,33.9,40455.0,151.0,34.078,40606.0,122.0,34.244,40728.0,86.0,34.387,40814.0,550.0,35.082,41364.0,824.0,36.126,42188.0,3277.0,40.157,45465.0,6407.0,49.043,51872.0,
exhaust,0.0,355.0,150.0,0.0,505.0,119.0,0.0,624.0,182.0,0.0,806.0,221.0,0.0,1027.0,246.0,0.0,1273.0,783.0,0.0,2056.0,1126.0,0.0,3182.0,3563.0,0.0,6745.0,7448.0,0.0,14193.0,
colsum,100.00099999999999,119962.0,0.0,100.00200000000001,119962.0,0.0,100.0,119962.0,0.0,100.001,119962.0,0.0,100.0,119962.0,0.0,99.99900000000001,119962.0,0.0,99.999,119962.0,0.0,100.0,119962.0,0.0,99.999,119962.0,0.0,100.0,119962.0,
