candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer
DENNIS HERRERA,11.272,21914.0,2.0,11.273,21916.0,21.0,11.287,21937.0,21.0,11.303,21958.0,19.0,11.317,21977.0,59.0,11.353,22036.0,113.0,11.419,22149.0,79.0,11.47,22228.0,378.0,11.705,22606.0,925.0,12.324,23531.0,726.0,12.894,24257.0,2824.0,14.564,27081.0,2592.0,16.433,29673.0,2603.0,18.53,32276.0,4866.0,22.593,37142.0,-37142.0,0.0,0.0,
EMIL LAWRENCE,0.196,382.0,3.0,0.198,385.0,12.0,0.204,397.0,-397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PHIL TING,0.523,1016.0,0.0,0.523,1016.0,6.0,0.526,1022.0,8.0,0.53,1030.0,19.0,0.54,1049.0,14.0,0.548,1063.0,-1063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PAUL CURRIER,0.128,248.0,1.0,0.128,249.0,-249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOHN AVALOS,19.26,37445.0,2.0,19.263,37447.0,25.0,19.279,37472.0,9.0,19.293,37481.0,16.0,19.308,37497.0,78.0,19.359,37575.0,79.0,19.412,37654.0,1026.0,19.959,38680.0,191.0,20.127,38871.0,449.0,20.593,39320.0,204.0,21.009,39524.0,1511.0,22.068,41035.0,1842.0,23.745,42877.0,2628.0,26.125,45505.0,3133.0,29.586,48638.0,8522.0,40.362,57160.0,
MICHELA ALIOTO-PIER,3.419,6648.0,1.0,3.42,6649.0,11.0,3.427,6660.0,34.0,3.446,6694.0,26.0,3.46,6720.0,71.0,3.499,6791.0,46.0,3.525,6837.0,58.0,3.558,6895.0,483.0,3.82,7378.0,-7378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DAVID CHIU,9.218,17921.0,0.0,9.218,17921.0,8.0,9.224,17929.0,17.0,9.238,17946.0,48.0,9.266,17994.0,18.0,9.28,18012.0,159.0,9.368,18171.0,44.0,9.399,18215.0,280.0,9.577,18495.0,462.0,9.928,18957.0,369.0,10.273,19326.0,1001.0,10.932,20327.0,2134.0,12.439,22461.0,2806.0,14.506,25267.0,-25267.0,0.0,0.0,0.0,0.0,0.0,
JOANNA REES,1.597,3104.0,0.0,1.597,3104.0,7.0,1.601,3111.0,32.0,1.618,3143.0,42.0,1.64,3185.0,31.0,1.657,3216.0,36.0,1.677,3252.0,65.0,1.712,3317.0,-3317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
WILMA PANG,0.228,444.0,0.0,0.228,444.0,12.0,0.235,456.0,13.0,0.241,469.0,-469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JEFF ADACHI,6.447,12534.0,0.0,6.447,12534.0,23.0,6.461,12557.0,29.0,6.479,12586.0,38.0,6.5,12624.0,42.0,6.526,12666.0,108.0,6.585,12774.0,112.0,6.649,12886.0,270.0,6.812,13156.0,572.0,7.19,13728.0,1320.0,7.999,15048.0,622.0,8.427,15670.0,-15670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
