break_on_overvote,break_on_repeated_skipvotes,candidate_map,contest,county,date,idparser,master_lookup,multi_winner_rounds,num_winners,office,parser,path,place,rcv_type,state,state_code,year
True,False,,Alaska Dem Primary 2020,,4/10/2020,,,False,1,PRESIDENT OF THE UNITED STATES,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Alaska/2020/dem_presidential_primary,Alaska,<class 'scripts.rcv_variants.rcv_multiWinner_thresh15'>,AK,,2020
True,False,,2017 BerkCouncilD4,001,3/7/2017,,,False,1,City Council District 4,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2017/BerkCouncilD4/ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2017
True,False,,2010 City Auditor - Berkeley Nov 2010cam,001,11/2/2010,,,False,1,City Auditor,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Berkeley_Nov 2010.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2010
True,False,,"2010 Member, City Council, District 1 - Berkeley Nov 2010",001,11/2/2010,,,False,1,City Council District 1,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - Berkeley_Nov 2010.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2010
True,False,,"2010 Member, City Council, District 4 - Berkeley Nov 2010",001,11/2/2010,,,False,1,City Council District 4,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 4 - Berkeley_Nov 2010.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2010
True,False,,"2010 Member, City Council, District 7 - Berkeley Nov 2010",001,11/2/2010,,,False,1,City Council District 7,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2010.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2010
True,False,,"2010 Member, City Council, District 8 - Berkeley Nov 2010",001,11/2/2010,,,False,1,City Council District 8,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2010.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2010
True,False,,2014 City Auditor - Berkeley Nov 2014,001,11/4/2014,,,False,1,City Auditor,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_City Auditor - Berkeley_Nov 2014.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2014
True,False,,"2014 Member, City Council, District 1 - Berkeley Nov 2014",001,11/4/2014,,,False,1,City Council District 1,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 1 - Berkeley_Nov_2014.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2014
True,False,,"2014 Member, City Council, District 7 - Berkeley Nov 2014",001,11/4/2014,,,False,1,City Council District 7,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2014.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2014
True,False,,"2014 Member, City Council, District 8 - Berkeley Nov 2014",001,11/4/2014,,,False,1,City Council District 8,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2014.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2014
True,False,,"2012 Member, City Council, District 2 - Berkeley Nov 2012",001,11/6/2012,,,False,1,City Council District 2,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - Berkeley_Nov 2012.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2012
True,False,,"2012 Member, City Council, District 3 - Berkeley Nov 2012",001,11/6/2012,,,False,1,City Council District 3,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 3 - Berkeley_Nov 2012.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2012
True,False,,"2012 Member, City Council, District 5 - Berkeley Nov 2012",001,11/6/2012,,,False,1,City Council District 5,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 5 - Berkeley_Nov 2012.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2012
True,False,,"2012 Member, City Council, District 6 - Berkeley Nov 2012",001,11/6/2012,,,False,1,City Council District 6,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - Berkeley_Nov 2012.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2012
True,False,,2012 Mayor - Berkeley Nov 2012,001,11/6/2012,,,False,1,Mayor,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Mayor - Berkeley_Nov 2012.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2012
True,False,,Berkeley City Auditor 2018,001,11/6/2018,,,False,1,City Auditor,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCityAuditor2018ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2018
True,False,,Berkeley Council D1 2018,001,11/6/2018,,,False,1,City Council District 1,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD12018ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2018
True,False,,Berkeley Council D4 2018,001,11/6/2018,,,False,1,City Council District 4,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD42018ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2018
True,False,,Berkeley Council D7 2018,001,11/6/2018,,,False,1,City Council District 7,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD72018ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2018
True,False,,Berkeley Council D8 2018,001,11/6/2018,,,False,1,City Council District 8,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda2018/BerkeleyCouncilD82018ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2018
True,False,,2016 BerkeleyCouncilD2,001,11/8/2016,,,False,1,City Council District 2,<function sfnoid at 0x000002546E040798>,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD2/ballot_image.txt",Berkeley,<class 'scripts.rcv_variants.rcv_single_winner'>,CA,06,2016
