"condorcet winner: Simmons, E. Denise","Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
"Benzan, Dennis A.",,55.35,46.03,57.35,86.83,59.92,89.69,55.92,91.01,52.37,83.94,47.58,83.94,43.97,45.54,88.04,89.88,90.63,38.18,55.43,65.85,87.58,54.85,98.64
"Carlone, Dennis J.",44.65,,42.83,57.08,85.89,58.17,89.20,54.83,90.48,47.89,84.20,44.34,80.74,40.29,43.51,86.97,87.65,89.73,38.44,49.10,69.47,87.25,53.59,98.52
"Cheung, Leland",53.97,57.17,,61.44,89.75,64.84,91.91,60.35,92.73,57.97,86.50,54.40,85.94,48.35,52.08,90.17,91.86,92.33,46.18,60.39,68.64,89.62,60.10,98.89
"Connolly, Mike",42.65,42.92,38.56,,85.50,55.30,89.34,49.92,89.70,44.87,83.38,41.96,79.48,35.63,40.75,85.59,85.82,88.18,36.89,46.23,67.01,86.04,49.48,98.42
"Courtney, Kim",13.17,14.11,10.25,14.50,,19.79,62.66,17.24,69.98,14.48,47.56,13.14,45.28,9.83,12.88,55.21,55.96,61.47,9.74,15.58,23.33,53.13,14.45,93.65
"Davidson, Mariko",40.08,41.83,35.16,44.70,80.21,,88.87,47.02,88.45,41.34,80.66,39.44,76.94,29.85,37.18,83.83,84.99,88.23,34.02,44.78,61.93,84.02,45.40,98.27
"Degoes, Jr., Plinio T.",10.31,10.80,8.09,10.66,37.34,11.13,,13.66,58.88,11.66,41.94,10.72,40.52,7.20,10.13,48.54,49.72,55.23,7.93,12.97,17.96,47.04,11.57,92.32
"Devereux, Jan",44.08,45.17,39.65,50.08,82.76,52.98,86.34,,89.90,45.09,83.46,42.76,79.43,37.67,41.86,85.77,86.42,88.85,38.15,47.93,67.04,86.37,50.42,98.39
"Dietrich, Xavier",8.99,9.52,7.27,10.30,30.02,11.55,41.12,10.10,,10.57,39.01,9.13,37.19,6.89,9.16,44.80,46.67,51.84,6.90,11.22,17.18,43.14,10.84,91.64
"Kelley, Craig A.",47.63,52.11,42.03,55.13,85.52,58.66,88.34,54.91,89.43,,84.04,46.81,83.41,43.77,45.31,88.69,90.10,90.67,39.84,54.24,64.70,87.88,55.07,98.61
"Levy, Ilan S.",16.06,15.80,13.50,16.62,52.44,19.34,58.06,16.54,60.99,15.96,,16.19,51.57,11.45,15.54,60.47,61.33,66.44,12.71,18.69,26.71,58.98,18.03,94.50
"Maher, David P.",52.42,55.66,45.60,58.04,86.86,60.56,89.28,57.24,90.87,53.19,83.81,,87.55,46.80,50.91,89.69,91.50,91.91,43.70,60.45,66.85,88.82,56.64,98.73
"Mahoney, Jr., Paul F.",16.06,19.26,14.06,20.52,54.72,23.06,59.48,20.57,62.81,16.59,48.43,12.45,,15.29,15.80,62.81,64.01,68.17,12.95,17.31,29.80,60.10,20.66,94.80
"Mazen, Nadeem A.",56.03,59.71,51.65,64.37,90.17,70.15,92.80,62.33,93.11,56.23,88.55,53.20,84.71,,55.37,91.92,92.21,94.68,49.57,60.09,83.49,92.47,64.94,99.11
"McGovern, Marc C.",54.46,56.49,47.92,59.25,87.12,62.82,89.87,58.14,90.84,54.69,84.46,49.09,84.20,44.63,,90.24,91.61,92.37,46.65,59.67,68.34,89.59,59.37,98.84
"Mello, Gary W.",11.96,13.03,9.83,14.41,44.79,16.17,51.46,14.23,55.20,11.31,39.53,10.31,37.19,8.08,9.76,,57.26,63.05,9.19,14.16,22.73,52.44,14.39,92.86
"Moree, Gregg J.",10.12,12.35,8.14,14.18,44.04,15.01,50.28,13.58,53.33,9.90,38.67,8.50,35.99,7.79,8.39,42.74,,59.73,7.49,12.46,21.60,50.65,13.54,92.25
"Sanzone, John",9.37,10.27,7.67,11.82,38.53,11.77,44.77,11.15,48.16,9.33,33.56,8.09,31.83,5.32,7.63,36.95,40.27,,7.29,11.27,17.31,45.49,11.67,91.52
"Simmons, E. Denise",61.82,61.56,53.82,63.11,90.26,65.98,92.07,61.85,93.10,60.16,87.29,56.30,87.05,50.43,53.35,90.81,92.51,92.71,,66.82,72.21,91.89,63.75,99.00
"Toomey, Jr., Timothy J.",44.57,50.90,39.61,53.77,84.42,55.22,87.03,52.07,88.78,45.76,81.31,39.55,82.69,39.91,40.33,85.84,87.54,88.73,33.18,,62.41,86.79,51.27,98.47
"Waite, Romaine",34.15,30.53,31.36,32.99,76.67,38.07,82.04,32.96,82.82,35.30,73.29,33.15,70.20,16.51,31.66,77.27,78.40,82.69,27.79,37.59,,82.11,37.07,97.73
"Williamson, James M.",12.42,12.75,10.38,13.96,46.87,15.98,52.96,13.63,56.86,12.12,41.02,11.18,39.90,7.53,10.41,47.56,49.35,54.51,8.11,13.21,17.89,,11.45,92.84
"vanBeuzekom, Minka Y.",45.15,46.41,39.90,50.52,85.55,54.60,88.43,49.58,89.16,44.93,81.97,43.36,79.34,35.06,40.63,85.61,86.46,88.33,36.25,48.73,62.93,88.55,,98.45
writeIns,1.36,1.48,1.11,1.58,6.35,1.73,7.68,1.61,8.36,1.39,5.50,1.27,5.20,0.89,1.16,7.14,7.75,8.48,1.00,1.53,2.27,7.16,1.55,
