"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
"Bowman, Manikka L.",,8534.00,8946.00,7085.00,8250.00,9009.00,7476.00,8337.00,9140.00,9290.00,6270.00,8976.00,10159.00
"Cronin, Fran A.",4490.00,,6120.00,4759.00,5593.00,6091.00,5180.00,5674.00,6175.00,6250.00,4315.00,5977.00,7271.00
"Crutchfield, Jake W.",3641.00,4028.00,,3194.00,4433.00,4374.00,4125.00,4155.00,4470.00,4601.00,3215.00,4375.00,5701.00
"Dexter, Emily R.",7054.00,8738.00,9388.00,,9070.00,9642.00,8059.00,9000.00,9728.00,9873.00,6534.00,9571.00,10797.00
"Fantini, Alfred B.",5468.00,6550.00,6955.00,5302.00,,7138.00,5926.00,6739.00,7295.00,7321.00,5179.00,7105.00,8161.00
"Kadete, Elechi M.",3144.00,3969.00,3963.00,2966.00,4178.00,,3958.00,3926.00,4437.00,4479.00,3124.00,4250.00,5535.00
"Kelly, Kathleen M.",5876.00,7100.00,7965.00,5707.00,6605.00,8040.00,,7637.00,8252.00,8328.00,5556.00,8059.00,9116.00
"Kimbrough, Laurance V.",4372.00,5071.00,5384.00,4406.00,5161.00,5369.00,5028.00,,5723.00,5795.00,4581.00,5616.00,6763.00
"MacArthur, William",3099.00,3540.00,3291.00,2595.00,3606.00,3577.00,3403.00,3255.00,,3903.00,2783.00,3789.00,5006.00
"Mitros, Piotr Flawiusz",2468.00,2792.00,2728.00,1980.00,2965.00,2766.00,2670.00,2760.00,2861.00,,2099.00,3018.00,4153.00
"Nolan, Patricia M.",8931.00,10068.00,10521.00,8141.00,9740.00,10690.00,8977.00,10063.00,10814.00,10954.00,,10826.00,11956.00
"Weinstein, David J.",3506.00,3866.00,3968.00,2932.00,4080.00,4139.00,3791.00,3771.00,4157.00,4134.00,2855.00,,5508.00
writeIns,149.00,142.00,151.00,142.00,149.00,146.00,144.00,137.00,153.00,159.00,134.00,154.00,
