"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",writeIns
"Adkins, Lawrence J.",,71.36,16.38,15.97,16.12,32.92,55.43,61.48,57.28,27.19,59.48,21.84,19.30,17.83,25.42,14.20,15.47,21.54,95.91
"Condit, James E., III",28.64,,8.98,9.00,8.52,20.66,38.56,44.32,39.87,16.79,42.94,11.59,10.66,10.74,15.07,8.55,8.06,11.40,93.29
"Davis, Henrietta",83.62,91.02,,50.10,50.27,75.53,87.26,89.64,88.00,68.42,89.12,61.77,57.49,58.02,66.69,52.38,50.42,59.07,98.97
"Decker, Marjorie C.",84.03,91.00,49.90,,51.86,76.48,87.37,90.01,88.27,68.68,89.59,62.22,59.36,60.79,66.97,54.34,51.24,60.17,99.14
"Galluccio, Anthony D.",83.88,91.48,49.73,48.14,,72.68,87.55,91.00,88.75,67.86,89.20,64.63,58.18,58.70,64.93,52.02,53.26,63.35,99.08
"Gordon, Jesse A.",67.08,79.34,24.47,23.52,27.32,,74.37,78.47,75.65,44.38,76.45,35.60,30.40,34.28,41.37,27.09,28.51,36.64,97.97
"Green, Andre Lerone",44.57,61.44,12.74,12.63,12.45,25.63,,61.40,57.28,25.27,57.15,18.52,16.72,16.51,23.40,13.55,13.37,18.56,95.55
"Hall, Robert Lee, Sr.",38.52,55.68,10.36,9.99,9.00,21.53,38.60,,50.20,21.49,51.20,14.82,13.77,12.53,20.26,10.20,9.88,14.80,94.52
"Hees, Bill",42.72,60.13,12.00,11.73,11.25,24.35,42.72,49.80,,24.00,55.26,16.74,15.39,15.78,22.23,13.03,12.08,17.28,94.97
"Kelley, Craig A.",72.81,83.21,31.58,31.32,32.14,55.62,74.73,78.51,76.00,,80.91,41.63,37.64,39.78,47.02,33.90,33.87,42.03,98.28
"LaTremouille, Robert J.",40.52,57.06,10.88,10.41,10.80,23.55,42.85,48.80,44.74,19.09,,16.67,14.39,14.75,21.00,11.79,11.40,16.39,94.99
"Maher, David P.",78.16,88.41,38.23,37.78,35.37,64.40,81.48,85.18,83.26,58.37,83.33,,48.01,48.87,56.75,41.91,38.96,51.79,98.55
"Murphy, Brian",80.70,89.34,42.51,40.64,41.82,69.60,83.28,86.23,84.61,62.36,85.61,51.99,,53.11,62.63,46.31,44.08,53.69,98.79
"Reeves, Kenneth E.",82.17,89.26,41.98,39.21,41.30,65.72,83.49,87.47,84.22,60.22,85.25,51.13,46.89,,58.93,43.50,43.69,54.07,98.75
"Seidel, Sam",74.58,84.93,33.31,33.03,35.07,58.63,76.60,79.74,77.77,52.98,79.00,43.25,37.37,41.07,,35.96,36.47,44.31,98.39
"Simmons, Denise",85.80,91.45,47.62,45.66,47.98,72.91,86.45,89.80,86.97,66.10,88.21,58.09,53.69,56.50,64.04,,51.02,60.38,99.12
"Sullivan, Michael A.",84.53,91.94,49.58,48.76,46.74,71.49,86.63,90.12,87.92,66.13,88.60,61.04,55.92,56.31,63.53,48.98,,65.09,98.97
"Toomey, Timothy J., Jr.",78.46,88.60,40.93,39.83,36.65,63.36,81.44,85.20,82.72,57.97,83.61,48.21,46.31,45.93,55.69,39.62,34.91,,98.52
writeIns,4.09,6.71,1.03,0.86,0.92,2.03,4.45,5.48,5.03,1.72,5.01,1.45,1.21,1.25,1.61,0.88,1.03,1.48,
