"condorcet winner: Turkel, Alice L.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
"Fantini, Alfred B.",,5788.00,5627.00,4577.00,5696.00,4499.00,4462.00,4932.00,5707.00,4357.00,4390.00,6329.00
"Forster, Bill",1705.00,,2019.00,1829.00,2161.00,1678.00,1550.00,1706.00,2179.00,1603.00,1556.00,2888.00
"Gerber, Joyce C.",2404.00,2610.00,,2399.00,2833.00,2235.00,1879.00,2206.00,2925.00,1967.00,1968.00,3552.00
"Harding, Jr., Richard",4828.00,6008.00,5879.00,,6078.00,4568.00,4524.00,5022.00,6082.00,4610.00,4525.00,6635.00
"Holland, John J.",1742.00,2053.00,1951.00,1845.00,,1851.00,1726.00,1902.00,2323.00,1852.00,1829.00,2984.00
"McGovern, Marc C.",5670.00,6919.00,6698.00,5399.00,6864.00,,5098.00,5744.00,7003.00,5218.00,5040.00,7524.00
"Nolan, Patricia M.",6119.00,7056.00,6833.00,5797.00,6994.00,5215.00,,5912.00,7139.00,5408.00,5073.00,7610.00
"Osborne, Mervan F.",5147.00,5450.00,5321.00,4613.00,5431.00,4527.00,4178.00,,5672.00,4686.00,4554.00,6236.00
"Stead, Sr., Charles Lewis",1682.00,1953.00,1887.00,1443.00,1962.00,1620.00,1647.00,1607.00,,1828.00,1735.00,2770.00
"Tauber, Nancy",6074.00,6960.00,6698.00,5680.00,6830.00,4983.00,4736.00,5439.00,6898.00,,4733.00,7473.00
"Turkel, Alice L.",6407.00,7257.00,7066.00,5998.00,7220.00,5440.00,5211.00,5781.00,7155.00,5155.00,,7741.00
writeIns,111.00,120.00,118.00,104.00,121.00,111.00,104.00,111.00,117.00,107.00,109.00,
