"condorcet winner: Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
"Allen, Ruth Ryan",,25.60,44.35,22.82,29.97,45.04,43.77,38.62,29.23,40.28,24.74,98.11
"Bowman, Mannika L.",74.40,,72.33,49.67,59.33,72.14,70.59,66.22,57.13,67.19,52.50,99.07
"Dawson, Bernette J.",55.65,27.67,,28.23,37.05,52.69,51.16,45.36,35.56,47.30,29.37,98.20
"Dexter, Emily R.",77.18,50.33,71.77,,63.77,75.81,74.91,70.83,62.04,73.11,56.75,99.15
"Fantini, Alfred B.",70.03,40.67,62.95,36.23,,65.02,64.40,59.09,50.63,61.04,46.44,98.95
"Kadete, Elechi M.",54.96,27.86,47.31,24.19,34.98,,50.30,44.00,35.03,47.81,27.96,98.26
"Lim, Christopher",56.23,29.41,48.84,25.09,35.60,49.70,,45.16,36.48,48.34,31.36,98.27
"Rojas Villareal, Jose Luis",61.38,33.78,54.64,29.17,40.91,56.00,54.84,,41.48,55.29,35.12,98.57
"Weinstain, Rachel",70.77,42.87,64.44,37.96,49.37,64.97,63.52,58.52,,61.52,46.02,98.90
"Weinstein, David J.",59.72,32.81,52.70,26.89,38.96,52.19,51.66,44.71,38.48,,34.96,98.52
"Wilson, Ayesha",75.26,47.50,70.63,43.25,53.56,72.04,68.64,64.88,53.98,65.04,,99.09
writeIns,1.89,0.93,1.80,0.85,1.05,1.74,1.73,1.43,1.10,1.48,0.91,
