Ballots with first choice:,Number of Ballots,"Bowman, Manikka L. ranked in top 3","Cisternino, Pia ranked in top 3","Cronin, Fran Albin ranked in top 3","Crutchfield, Jake W. ranked in top 3","Dexter, Emily R. ranked in top 3","Fantini, Alfred B. ranked in top 3","Harding, Jr., Richard ranked in top 3","Kadete, Elechi M. ranked in top 3","Kelly, Kathleen M. ranked in top 3","Nolan, Patricia M. ranked in top 3","Weinstein, David J. ranked in top 3",writeIns ranked in top 3
"Bowman, Manikka L.",1488,1488,224,243,181,269,165,295,192,314,360,146,1
"Cisternino, Pia",656,125,656,120,126,151,78,79,70,93,198,84,1
"Cronin, Fran Albin",1417,188,87,1417,96,182,339,279,42,404,528,113,0
"Crutchfield, Jake W.",1221,178,158,94,1221,182,109,153,138,165,299,112,2
"Dexter, Emily R.",1402,254,300,192,152,1402,154,173,112,270,582,132,3
"Fantini, Alfred B.",2721,199,159,383,106,155,2721,917,107,672,639,157,7
"Harding, Jr., Richard",1988,292,72,252,160,120,538,1988,189,532,491,114,4
"Kadete, Elechi M.",426,98,38,44,74,64,44,109,426,77,88,51,0
"Kelly, Kathleen M.",1710,292,97,421,92,235,245,362,64,1710,751,137,5
"Nolan, Patricia M.",3005,422,454,692,277,620,440,541,122,885,3005,301,4
"Weinstein, David J.",695,159,105,102,99,103,71,97,54,113,164,695,2
writeIns,62,2,5,4,2,3,1,4,3,5,9,2,62
