Ballots with first choice:,Number of Ballots,"Condit, James E., III ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Dixon, Vincent Lawrence ranked in top 3","Galluccio, Anthony D. ranked in top 3","Hall, Robert L. ranked in top 3","Horowitz, Jacob ranked in top 3","Iskovitz, Steve ranked in top 3","Jens, Steven E. ranked in top 3","King, Ethridge A. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Peixoto, Helder ranked in top 3","Pitkin, John ranked in top 3","Reeves, Kenneth E. ranked in top 3","Simmons, Denise ranked in top 3","Sullivan, Michael A. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3","Williamson, James M. ranked in top 3",writeIns ranked in top 3
"Condit, James E., III",62,62,6,11,9,13,6,2,7,15,4,5,2,4,2,3,4,3,3,7,1
"Davis, Henrietta",1697,6,1697,569,26,281,15,207,37,9,291,131,487,23,319,157,443,91,58,5,4
"Decker, Marjorie C.",1525,9,531,1525,16,296,38,47,52,7,129,126,414,24,205,236,444,137,80,8,3
"Dixon, Vincent Lawrence",87,4,6,14,87,10,6,5,11,12,10,8,8,1,13,6,12,14,7,11,0
"Galluccio, Anthony D.",3212,29,320,399,43,3212,79,46,30,44,153,1122,227,56,128,463,325,1333,746,17,1
"Hall, Robert L.",149,4,13,66,2,27,149,8,8,2,11,14,23,5,9,12,57,9,3,3,0
"Horowitz, Jacob",150,1,37,16,1,11,2,150,30,6,42,5,34,0,31,9,33,4,3,2,0
"Iskovitz, Steve",340,4,90,69,20,18,7,17,340,12,41,8,60,13,69,25,110,4,12,34,2
"Jens, Steven E.",275,46,18,15,22,75,13,11,7,275,21,48,11,9,19,14,16,43,23,7,1
"King, Ethridge A.",370,3,93,61,10,55,8,31,12,10,370,35,67,8,51,81,100,20,10,3,2
"Maher, David P.",1008,10,87,111,8,497,20,10,8,16,24,1008,64,14,42,72,64,474,246,3,0
"Murphy, Brian",1707,27,681,513,9,216,34,120,42,10,178,131,1707,34,435,130,410,125,33,8,2
"Peixoto, Helder",61,4,10,2,4,14,1,2,3,1,1,5,4,61,4,10,6,12,16,5,1
"Pitkin, John",1084,14,441,260,18,113,18,63,44,14,121,67,329,14,1084,73,294,65,48,14,2
"Reeves, Kenneth E.",1133,6,195,227,12,291,17,15,13,6,159,70,66,13,42,1133,529,190,108,11,1
"Simmons, Denise",1327,12,369,427,14,173,21,63,49,10,203,47,273,7,161,422,1327,84,64,12,0
"Sullivan, Michael A.",1297,15,111,135,31,616,14,10,7,7,14,427,62,16,35,117,78,1297,540,11,2
"Toomey, Timothy J., Jr.",1387,10,95,146,32,608,13,7,9,9,17,279,39,49,35,108,63,694,1387,8,3
"Williamson, James M.",55,7,5,11,7,10,2,5,10,1,3,1,2,2,14,3,14,3,2,55,1
writeIns,30,0,3,4,2,7,0,1,3,2,0,0,2,1,2,5,1,2,1,0,30
