Ballots with first choice:,Number of Ballots,"Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Galluccio, Anthony D. ranked in top 3","Janik, Jonathan S. ranked in top 3","Kelley, Craig A. ranked in top 3","Maher, David P. ranked in top 3","Moore, M. Kevin ranked in top 3","Moree, Gregg J. ranked in top 3","Murphy, Brian ranked in top 3","Podgers, Kathy ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Sullivan, Edward J. ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3","Ward, Larry W. ranked in top 3",writeIns ranked in top 3
"Davis, Henrietta",1591,1591,612,106,57,248,187,20,9,431,32,163,311,474,40,96,131,1
"Decker, Marjorie C.",1068,397,1068,106,36,115,113,34,17,197,21,185,165,309,65,94,88,0
"Galluccio, Anthony D.",521,55,70,521,14,49,130,32,11,43,8,94,24,71,117,161,28,3
"Janik, Jonathan S.",260,58,34,19,260,25,27,22,13,33,19,24,52,25,17,25,40,3
"Kelley, Craig A.",1118,313,205,51,49,1118,158,58,28,235,36,89,288,182,58,101,146,3
"Maher, David P.",1310,157,170,197,32,136,1310,36,28,212,15,96,93,115,429,468,55,0
"Moore, M. Kevin",250,25,23,23,8,11,11,250,20,24,13,78,21,64,24,19,70,0
"Moree, Gregg J.",111,9,15,9,14,14,14,21,111,9,11,9,12,15,14,12,13,0
"Murphy, Brian",1159,438,307,67,40,173,145,22,3,1159,18,117,284,194,39,60,109,1
"Podgers, Kathy",92,16,9,1,8,15,6,16,7,8,92,11,23,17,12,4,13,0
"Reeves, Kenneth E.",1216,214,243,155,19,60,88,141,15,93,12,1216,91,514,110,178,129,1
"Seidel, Sam",1037,394,223,52,103,196,89,38,14,299,19,56,1037,179,29,39,219,1
"Simmons, E. Denise",994,319,269,71,17,81,54,110,10,117,22,279,129,994,64,94,151,1
"Sullivan, Edward J.",829,54,94,164,22,66,298,49,18,65,17,59,26,43,829,380,39,3
"Toomey, Timothy J., Jr.",1336,140,190,381,25,88,336,28,33,94,14,145,43,124,413,1336,52,2
"Ward, Larry W.",698,187,129,59,42,100,40,96,16,116,12,94,145,174,28,26,698,3
writeIns,25,1,1,1,1,1,0,2,1,2,1,2,4,3,1,2,0,25
