Ballots with first choice:,Number of Ballots,"Akiba, Sukia ranked in top 3","Azeem, Burhan ranked in top 3","Carlone, Dennis J. ranked in top 3","Franklin, Charles J. ranked in top 3","Kelley, Craig A. ranked in top 3","Kopon, Derek Andrew ranked in top 3","Levy, Ilan ranked in top 3","Mallon, Alanna M. ranked in top 3","McGovern, Marc C. ranked in top 3","McNary, Jeffery ranked in top 3","Mednick, Risa ranked in top 3","Moree, Gregg J. ranked in top 3","Musgrave, Adriane ranked in top 3","Nolan, Patricia M. ranked in top 3","Pitkin, John ranked in top 3","Siddiqui, Sumbul ranked in top 3","Simmons, E. Denise ranked in top 3","Simon, Ben ranked in top 3","Sobrinho-Wheeler, Jivan ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Williams, Nicola A. ranked in top 3","Zondervan, Quinton Y. ranked in top 3",writeIns ranked in top 3
"Akiba, Sukia",360,360,70,28,54,15,20,8,68,25,7,25,2,30,34,11,84,64,13,32,14,48,20,0
"Azeem, Burhan",960,63,960,25,61,18,30,9,270,225,15,45,3,196,35,11,317,96,18,233,29,31,63,0
"Carlone, Dennis J.",1474,15,15,1474,158,500,162,11,103,105,11,58,2,26,575,95,100,69,31,55,29,138,594,5
"Franklin, Charles J.",323,23,40,38,323,25,33,6,27,30,11,11,3,32,45,14,48,36,35,50,10,33,61,0
"Kelley, Craig A.",1422,28,26,464,23,1422,153,15,156,199,8,29,13,63,486,112,152,153,22,29,108,90,328,3
"Kopon, Derek Andrew",491,13,15,121,16,116,491,16,22,16,10,5,8,19,181,135,24,17,12,22,16,68,88,1
"Levy, Ilan",109,9,7,20,10,10,15,109,6,5,2,5,0,1,23,7,9,6,7,6,10,9,28,1
"Mallon, Alanna M.",1254,61,84,74,27,120,22,11,1254,397,13,65,9,198,115,24,548,255,11,64,125,49,97,3
"McGovern, Marc C.",1618,37,111,122,28,187,17,12,428,1618,16,70,14,163,133,44,488,570,25,80,294,49,127,5
"McNary, Jeffery",77,5,4,5,7,5,3,4,6,8,77,5,6,7,8,5,11,12,5,6,8,9,11,0
"Mednick, Risa",242,8,16,35,10,19,6,5,39,23,4,242,7,38,34,18,75,30,4,29,4,24,34,0
"Moree, Gregg J.",46,2,2,1,4,5,5,3,3,4,3,1,46,5,8,5,3,4,2,1,10,0,2,0
"Musgrave, Adriane",724,23,119,40,33,59,14,3,213,163,4,51,5,724,67,20,255,99,15,98,24,19,60,0
"Nolan, Patricia M.",1685,42,33,614,39,516,185,23,144,125,14,40,10,45,1685,154,188,133,67,52,66,235,520,2
"Pitkin, John",536,11,10,99,14,135,74,11,33,34,6,13,3,14,134,536,49,54,31,26,37,99,124,0
"Siddiqui, Sumbul",2515,182,302,134,63,177,26,16,763,518,14,135,15,247,167,37,2515,659,70,323,203,147,340,0
"Simmons, E. Denise",2006,106,97,147,65,155,14,18,354,547,23,75,22,135,128,49,560,2006,62,71,494,191,140,0
"Simon, Ben",294,19,20,33,31,18,10,4,18,19,4,11,4,7,34,21,36,27,294,77,19,55,78,0
"Sobrinho-Wheeler, Jivan",1319,56,254,119,126,28,27,15,164,112,11,97,5,163,75,21,368,114,220,1319,48,162,356,1
"Toomey, Jr., Timothy J.",1727,38,27,104,37,333,15,40,231,426,14,14,29,52,117,37,226,562,21,31,1727,34,105,7
"Williams, Nicola A.",630,28,34,87,63,38,47,3,32,32,6,23,5,18,169,53,92,105,68,71,20,630,200,0
"Zondervan, Quinton Y.",1380,42,65,414,94,146,71,11,109,117,8,29,4,58,280,74,300,132,120,238,55,317,1380,0
writeIns,17,0,0,0,1,0,0,0,0,3,1,0,2,0,3,0,2,1,1,1,3,1,0,17
