,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Adkins, Lawrence J.",103.00,230.00,393.00,565.00,710.00,826.00,924.00,1037.00,1149.00,1224.00,1305.00,1381.00,1432.00,1493.00,1548.00,1601.00,1646.00,1687.00,1728.00,1750.00,14323.00
"Cheung, Leland",756.00,1419.00,2075.00,2630.00,3061.00,3393.00,3638.00,3855.00,4010.00,4120.00,4194.00,4244.00,4308.00,4347.00,4380.00,4402.00,4432.00,4456.00,4477.00,4497.00,11576.00
"Davis, Henrietta",1858.00,3601.00,5014.00,6162.00,6883.00,7342.00,7624.00,7784.00,7900.00,7953.00,7986.00,8015.00,8036.00,8067.00,8086.00,8104.00,8126.00,8150.00,8168.00,8185.00,7888.00
"Decker, Marjorie C.",1285.00,1883.00,2255.00,2523.00,2707.00,2845.00,2935.00,3012.00,3063.00,3092.00,3109.00,3117.00,3120.00,3123.00,3123.00,3125.00,3127.00,3128.00,3131.00,3137.00,12936.00
"Flanagan, Mark F.",112.00,243.00,418.00,603.00,767.00,886.00,1010.00,1097.00,1203.00,1276.00,1350.00,1421.00,1479.00,1546.00,1609.00,1644.00,1679.00,1721.00,1758.00,1783.00,14290.00
"Glick, Silvia P.",256.00,582.00,918.00,1220.00,1502.00,1749.00,1921.00,2108.00,2239.00,2326.00,2402.00,2471.00,2527.00,2578.00,2618.00,2662.00,2699.00,2726.00,2754.00,2782.00,13291.00
"Kelley, Craig A.",1250.00,2141.00,2937.00,3606.00,4144.00,4582.00,4916.00,5162.00,5306.00,5380.00,5433.00,5476.00,5519.00,5555.00,5593.00,5622.00,5651.00,5670.00,5697.00,5713.00,10360.00
"Leavitt, Neal W.",136.00,308.00,496.00,699.00,908.00,1099.00,1295.00,1427.00,1554.00,1639.00,1710.00,1782.00,1846.00,1897.00,1953.00,1999.00,2043.00,2081.00,2110.00,2138.00,13935.00
"Maher, David P.",1286.00,2407.00,3328.00,4072.00,4724.00,5244.00,5636.00,5919.00,6095.00,6170.00,6214.00,6252.00,6286.00,6318.00,6354.00,6385.00,6413.00,6432.00,6453.00,6463.00,9610.00
"Marquardt, Charles J.",385.00,700.00,1002.00,1218.00,1409.00,1562.00,1729.00,1849.00,1974.00,2047.00,2115.00,2187.00,2244.00,2291.00,2346.00,2403.00,2449.00,2489.00,2516.00,2534.00,13539.00
"Moree, Gregg J.",47.00,122.00,220.00,303.00,385.00,463.00,549.00,652.00,711.00,782.00,844.00,901.00,954.00,996.00,1038.00,1095.00,1152.00,1205.00,1251.00,1288.00,14785.00
"Podgers, Kathy",78.00,198.00,351.00,520.00,673.00,822.00,929.00,1029.00,1140.00,1221.00,1292.00,1352.00,1399.00,1442.00,1489.00,1528.00,1576.00,1622.00,1666.00,1693.00,14380.00
"Reeves, Kenneth E.",1166.00,2385.00,3371.00,3994.00,4540.00,4887.00,5125.00,5302.00,5422.00,5486.00,5528.00,5563.00,5583.00,5608.00,5626.00,5645.00,5664.00,5696.00,5723.00,5765.00,10308.00
"Seidel, Sam",900.00,2057.00,3205.00,4088.00,4753.00,5254.00,5602.00,5863.00,6002.00,6065.00,6108.00,6137.00,6167.00,6184.00,6217.00,6247.00,6271.00,6290.00,6323.00,6334.00,9739.00
"Simmons, E. Denise",1785.00,3513.00,5015.00,6009.00,6710.00,7159.00,7445.00,7633.00,7742.00,7789.00,7817.00,7828.00,7839.00,7856.00,7868.00,7888.00,7912.00,7939.00,7957.00,7983.00,8090.00
"Stohlman, Jr., Thomas J.",378.00,760.00,1130.00,1431.00,1682.00,1945.00,2158.00,2327.00,2467.00,2561.00,2627.00,2688.00,2746.00,2787.00,2833.00,2873.00,2910.00,2956.00,2987.00,3006.00,13067.00
"Sullivan, Edward J.",885.00,1844.00,2509.00,2900.00,3186.00,3375.00,3526.00,3627.00,3737.00,3817.00,3893.00,3944.00,3991.00,4042.00,4070.00,4101.00,4125.00,4162.00,4192.00,4211.00,11862.00
"Toomey, Jr., Timothy J.",1748.00,2846.00,3817.00,4455.00,4919.00,5300.00,5645.00,5929.00,6077.00,6169.00,6208.00,6251.00,6276.00,6301.00,6331.00,6349.00,6374.00,6390.00,6408.00,6426.00,9647.00
"Ward, Larry W.",736.00,1530.00,2425.00,3139.00,3783.00,4259.00,4642.00,4934.00,5175.00,5270.00,5332.00,5371.00,5398.00,5427.00,5449.00,5473.00,5503.00,5525.00,5542.00,5555.00,10518.00
"Williamson, James M.",90.00,192.00,289.00,408.00,497.00,602.00,706.00,806.00,910.00,972.00,1044.00,1109.00,1171.00,1228.00,1270.00,1317.00,1363.00,1422.00,1458.00,1490.00,14583.00
"vanBeuzekom, Minka Y.",682.00,1302.00,1887.00,2353.00,2733.00,3029.00,3259.00,3427.00,3568.00,3640.00,3691.00,3743.00,3793.00,3825.00,3863.00,3910.00,3945.00,3973.00,4014.00,4047.00,12026.00
writeIns,33.00,50.00,71.00,80.00,89.00,101.00,107.00,116.00,118.00,120.00,123.00,125.00,128.00,129.00,129.00,130.00,130.00,131.00,138.00,145.00,15928.00
