,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Bellew, Carole K.",3.48,7.07,10.59,13.62,16.61,18.89,20.52,21.73,22.45,23.07,23.46,23.81,24.16,24.42,24.70,24.88,25.11,25.29,25.44,25.55,74.45
"Davis, Henrietta",8.74,17.36,24.51,29.95,33.93,36.95,39.08,40.46,41.29,41.62,41.87,42.06,42.22,42.36,42.54,42.64,42.79,42.90,43.03,43.12,56.88
"DeBergalis, Matt S.",5.74,7.62,9.18,10.74,12.47,13.98,15.32,16.33,17.17,17.72,18.15,18.56,18.87,19.21,19.49,19.75,19.92,20.13,20.36,20.51,79.49
"Decker, Marjorie C.",6.52,14.03,21.49,27.22,31.38,34.36,36.40,37.92,38.91,39.28,39.48,39.72,39.93,40.14,40.30,40.44,40.58,40.71,40.85,40.92,59.08
"Dixon, Vincent Lawrence",0.31,0.75,1.52,2.30,3.14,3.93,4.60,5.33,5.90,6.31,6.69,7.05,7.43,7.86,8.20,8.53,8.86,9.11,9.35,9.52,90.48
"Galluccio, Anthony D.",14.20,24.56,32.72,38.16,41.51,43.60,45.11,46.16,47.09,47.60,47.85,48.10,48.29,48.42,48.62,48.75,48.88,49.02,49.16,49.28,50.72
"Greenwood, Dan J.",0.19,0.57,1.03,1.48,1.97,2.49,3.00,3.62,4.17,4.66,5.05,5.49,5.85,6.21,6.58,7.00,7.33,7.67,7.85,7.96,92.04
"Hall, Robert L., Sr.",0.44,1.00,1.77,2.60,3.49,4.36,5.17,5.94,6.60,7.19,7.72,8.14,8.54,8.92,9.21,9.59,9.91,10.11,10.33,10.47,89.53
"Kelley, Craig A.",4.69,7.49,9.80,11.85,13.57,15.08,16.34,17.22,18.05,18.65,19.12,19.54,19.91,20.22,20.53,20.77,21.08,21.35,21.56,21.68,78.32
"King, Ethridge A., Jr.",1.68,3.49,5.75,7.82,10.30,12.53,14.28,15.63,16.52,17.26,17.77,18.18,18.54,18.89,19.15,19.41,19.60,19.85,20.05,20.18,79.82
"LaTremouille, Robert J.",0.58,1.18,1.90,2.58,3.32,3.96,4.48,5.12,5.74,6.24,6.71,7.08,7.42,7.79,8.12,8.45,8.82,9.16,9.52,9.72,90.28
"Maher, David P.",5.62,12.75,19.52,24.75,27.85,30.33,32.25,33.57,34.58,35.21,35.63,35.90,36.23,36.46,36.69,36.87,37.06,37.24,37.35,37.44,62.56
"Murphy, Brian",6.47,12.94,18.27,22.90,27.11,29.82,32.15,33.79,34.83,35.33,35.61,35.94,36.19,36.45,36.66,36.80,36.93,37.11,37.22,37.29,62.71
"Pitkin, John",4.80,8.49,11.10,13.36,15.36,17.21,18.42,19.47,20.37,20.90,21.34,21.77,22.09,22.38,22.75,23.07,23.30,23.44,23.66,23.82,76.18
"Reeves, Kenneth E.",7.20,12.72,17.52,21.85,25.62,28.44,30.39,31.67,32.64,33.10,33.45,33.71,33.92,34.10,34.27,34.46,34.64,34.82,35.01,35.22,64.78
"Simmons, Denise",5.56,12.86,19.02,24.14,28.41,31.52,33.64,35.07,36.18,36.67,36.96,37.17,37.30,37.48,37.61,37.77,37.97,38.14,38.23,38.34,61.66
"Smith, Aimee Louise",2.28,4.38,6.10,7.41,8.68,9.69,10.62,11.43,12.04,12.55,13.05,13.36,13.66,13.86,14.13,14.43,14.67,14.94,15.16,15.46,84.54
"Sullivan, Michael A.",7.80,17.07,26.02,30.80,33.97,36.21,37.79,39.11,40.03,40.60,40.97,41.27,41.43,41.59,41.71,41.87,42.03,42.16,42.31,42.43,57.57
"Taymorberry, Laurie",0.84,2.34,4.37,6.41,8.28,10.04,11.63,12.79,13.80,14.43,14.96,15.31,15.61,15.92,16.14,16.39,16.60,16.88,17.14,17.27,82.73
"Toomey, Timothy J., Jr.",7.63,13.10,18.46,24.48,27.47,29.66,31.40,32.82,33.86,34.44,34.90,35.15,35.37,35.51,35.67,35.80,35.95,36.12,36.30,36.44,63.56
writeIns,0.18,0.32,0.42,0.50,0.60,0.69,0.72,0.75,0.79,0.81,0.83,0.84,0.85,0.86,0.88,0.90,0.90,0.91,0.93,0.95,99.05
