,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Did Not Rank
"Benzan, Dennis A.",7.28,12.36,16.98,19.98,22.21,24.25,25.73,26.98,28.01,28.63,29.04,29.36,29.60,29.80,30.06,30.24,30.45,30.62,30.72,30.85,30.94,31.04,31.14,31.23,31.32,68.68
"Carlone, Dennis J.",6.45,11.02,14.82,17.26,19.25,20.63,21.68,22.63,23.35,23.88,24.20,24.41,24.68,24.94,25.11,25.29,25.47,25.64,25.81,25.96,26.10,26.21,26.33,26.45,26.54,73.46
"Cheung, Leland",13.40,24.69,34.07,40.30,44.81,47.85,49.90,51.18,52.08,52.40,52.64,52.81,52.91,53.00,53.08,53.18,53.25,53.27,53.36,53.42,53.50,53.59,53.65,53.69,53.75,46.25
"House, Janneke Ann",2.29,5.75,9.09,11.77,14.07,15.93,17.52,18.84,19.85,20.32,20.74,21.14,21.41,21.64,21.84,22.04,22.18,22.33,22.44,22.51,22.63,22.78,22.90,23.03,23.13,76.87
"Kelley, Craig A.",6.12,11.26,16.03,20.15,23.69,26.32,28.49,30.11,31.50,31.93,32.19,32.41,32.62,32.77,32.88,33.05,33.21,33.35,33.48,33.57,33.64,33.73,33.90,34.01,34.07,65.93
"Lee, James",0.51,1.31,2.20,3.12,4.00,4.93,5.72,6.37,7.03,7.39,7.75,8.06,8.41,8.69,8.95,9.23,9.45,9.63,9.84,9.96,10.06,10.20,10.37,10.52,10.59,89.41
"Leslie, Logan Edward",2.82,3.85,4.67,5.35,6.00,6.62,7.17,7.72,8.11,8.43,8.65,8.93,9.21,9.39,9.60,9.82,10.09,10.27,10.48,10.66,10.84,10.99,11.18,11.34,11.50,88.50
"Maher, David P.",8.20,14.82,20.16,24.35,27.50,30.26,32.12,33.60,34.69,35.24,35.63,35.88,36.11,36.27,36.40,36.59,36.75,36.90,36.97,37.07,37.22,37.30,37.35,37.43,37.50,62.50
"Mazen, Nadeem A.",5.52,10.89,15.24,18.44,20.88,22.72,24.21,25.32,26.25,26.81,27.19,27.52,27.70,27.85,28.04,28.20,28.35,28.56,28.70,28.80,28.89,29.02,29.08,29.13,29.23,70.77
"McGovern, Marc C.",6.65,12.70,18.35,22.58,25.93,28.40,30.30,31.64,32.61,33.16,33.52,33.86,34.07,34.25,34.47,34.60,34.74,34.91,35.13,35.26,35.36,35.48,35.59,35.64,35.69,64.31
"Mello, Gary W.",0.60,1.13,1.79,2.56,3.16,3.76,4.24,4.67,5.04,5.47,5.74,6.10,6.34,6.57,6.79,6.99,7.22,7.50,7.72,7.95,8.10,8.24,8.41,8.58,8.68,91.32
"Mirza, Mushtaque A.",1.59,2.86,4.06,5.01,5.98,6.80,7.57,8.37,9.07,9.57,10.01,10.32,10.64,10.97,11.16,11.34,11.52,11.67,11.91,12.13,12.32,12.44,12.56,12.69,12.80,87.20
"Moree, Gregg J.",0.21,0.47,0.78,1.09,1.45,1.73,1.98,2.34,2.62,2.84,3.11,3.39,3.62,3.89,4.07,4.25,4.46,4.68,4.86,5.12,5.33,5.62,5.89,6.01,6.18,93.82
"Peden, Ronald",0.27,0.62,1.11,1.57,2.06,2.56,2.99,3.37,3.68,3.92,4.20,4.47,4.73,4.96,5.21,5.49,5.70,5.93,6.11,6.34,6.62,6.86,7.05,7.26,7.34,92.66
"Phillips, Lesley Rebecca",0.46,1.17,2.31,3.26,4.12,5.07,5.79,6.45,7.08,7.55,7.90,8.22,8.49,8.76,9.04,9.25,9.46,9.64,9.80,9.96,10.13,10.27,10.41,10.56,10.65,89.35
"Reeves, Kenneth E.",5.23,10.99,16.16,20.20,23.36,25.89,27.82,29.19,30.24,30.83,31.09,31.31,31.47,31.63,31.79,31.89,32.06,32.23,32.32,32.44,32.52,32.63,32.75,32.86,33.06,66.94
"Seidel, Sam",3.93,8.42,13.23,17.90,21.44,24.13,26.34,27.93,28.99,29.60,30.04,30.33,30.60,30.83,30.99,31.21,31.35,31.47,31.65,31.77,31.91,31.97,32.05,32.16,32.24,67.76
"Simmons, E. Denise",6.63,14.17,21.54,27.33,32.04,35.45,37.52,39.07,40.21,40.74,41.05,41.25,41.42,41.49,41.58,41.68,41.76,41.84,41.92,42.05,42.13,42.20,42.31,42.41,42.49,57.51
"Smith, Jefferson R.",3.24,6.07,8.89,11.75,14.15,15.86,17.33,18.42,19.39,20.04,20.50,20.75,20.93,21.18,21.41,21.56,21.78,21.91,22.08,22.22,22.34,22.47,22.61,22.70,22.83,77.17
"Toomey, Jr., Timothy J.",8.16,13.66,18.10,21.49,24.29,26.67,28.65,29.99,31.04,31.58,31.87,32.14,32.29,32.49,32.61,32.69,32.85,32.96,33.08,33.18,33.33,33.46,33.53,33.64,33.70,66.30
"Vasquez, Luis",1.47,3.35,5.19,6.85,8.38,9.57,10.65,11.60,12.51,13.07,13.53,13.94,14.16,14.40,14.69,14.85,15.03,15.22,15.38,15.59,15.73,15.86,15.99,16.06,16.12,83.88
"Von Hoffmann, Kristen Lane",2.35,4.96,7.33,9.83,12.16,14.12,15.69,17.12,18.15,18.78,19.28,19.64,19.99,20.26,20.49,20.66,20.82,20.94,21.10,21.24,21.35,21.46,21.58,21.69,21.75,78.25
"Williamson, James M.",0.41,0.82,1.30,1.84,2.34,2.90,3.40,3.88,4.30,4.62,4.90,5.17,5.50,5.74,5.93,6.19,6.40,6.56,6.70,6.84,7.06,7.27,7.47,7.73,7.88,92.12
"Yarden, Elie",0.57,1.14,1.86,2.53,3.22,3.88,4.44,5.07,5.61,5.96,6.26,6.55,6.88,7.18,7.39,7.63,7.77,7.90,8.04,8.23,8.39,8.59,8.77,8.93,9.14,90.86
"vanBeuzekom, Minka Y.",4.89,11.29,17.24,22.12,26.23,29.37,32.23,33.87,35.03,35.57,35.94,36.20,36.34,36.44,36.58,36.70,36.72,36.84,36.94,37.03,37.15,37.26,37.32,37.37,37.43,62.57
writeIns,0.08,0.17,0.26,0.31,0.37,0.42,0.47,0.50,0.53,0.56,0.57,0.57,0.57,0.59,0.59,0.60,0.61,0.63,0.65,0.67,0.67,0.71,0.73,0.75,0.78,99.22
