,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank
"Cronin, Fran Albin",1832.00,3237.00,4379.00,5127.00,5685.00,6083.00,6302.00,6481.00,6638.00,11082.00
"Fantini, Alfred B.",2859.00,4345.00,5567.00,6513.00,7042.00,7419.00,7610.00,7791.00,7956.00,9764.00
"Gerber, Joyce C.",1126.00,2455.00,3608.00,4384.00,5021.00,5452.00,5731.00,5902.00,6045.00,11675.00
"Harding, Jr., Richard",2359.00,4208.00,5697.00,6822.00,7477.00,7846.00,8008.00,8137.00,8235.00,9485.00
"Holland, John J.",589.00,1277.00,1915.00,2389.00,2830.00,3191.00,3530.00,3818.00,4026.00,13694.00
"Kadete, Elechi M.",494.00,1133.00,1797.00,2385.00,2840.00,3249.00,3559.00,3874.00,4079.00,13641.00
"Kelly, Kathleen M.",2102.00,3738.00,5062.00,5906.00,6567.00,6972.00,7186.00,7331.00,7439.00,10281.00
"Nolan, Patricia M.",3921.00,6561.00,8281.00,9182.00,9582.00,9844.00,9953.00,10037.00,10118.00,7602.00
"Osborne, Mervan F.",1238.00,2911.00,4473.00,5601.00,6188.00,6539.00,6742.00,6897.00,7022.00,10698.00
writeIns,72.00,103.00,121.00,137.00,149.00,160.00,166.00,172.00,179.00,17541.00
