,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Benjamin, Ronald",241.00,419.00,636.00,788.00,928.00,1044.00,1140.00,1257.00,1370.00,1450.00,1523.00,1589.00,1639.00,1689.00,1740.00,1783.00,1833.00,1885.00,1937.00,1977.00,2022.00,2065.00,2104.00,2144.00,2181.00,2190.00,20406.00
"Burgin, Josh M.",392.00,672.00,900.00,1088.00,1264.00,1438.00,1561.00,1704.00,1832.00,1913.00,1983.00,2053.00,2116.00,2166.00,2206.00,2257.00,2325.00,2370.00,2415.00,2448.00,2482.00,2522.00,2560.00,2597.00,2624.00,2649.00,19947.00
"Carlone, Dennis J.",1175.00,2473.00,3793.00,5054.00,6258.00,7103.00,7674.00,8073.00,8405.00,8589.00,8714.00,8787.00,8839.00,8874.00,8905.00,8932.00,8960.00,8981.00,9000.00,9027.00,9046.00,9067.00,9090.00,9118.00,9132.00,9146.00,13450.00
"D'Ambrosio, Olivia",216.00,485.00,846.00,1213.00,1589.00,1926.00,2254.00,2506.00,2738.00,2890.00,3003.00,3101.00,3162.00,3222.00,3293.00,3327.00,3367.00,3405.00,3447.00,3476.00,3516.00,3551.00,3586.00,3610.00,3640.00,3662.00,18934.00
"Devereux, Jan",1698.00,3553.00,5104.00,6564.00,7793.00,8616.00,9205.00,9622.00,9915.00,10093.00,10194.00,10246.00,10285.00,10316.00,10348.00,10370.00,10391.00,10413.00,10433.00,10449.00,10465.00,10483.00,10510.00,10530.00,10550.00,10567.00,12029.00
"Gebru, Samuel",787.00,1534.00,2265.00,2888.00,3516.00,4195.00,4663.00,5035.00,5353.00,5511.00,5636.00,5731.00,5792.00,5854.00,5904.00,5946.00,5970.00,5995.00,6028.00,6054.00,6089.00,6118.00,6140.00,6173.00,6196.00,6216.00,16380.00
"Harding, Jr., Richard",835.00,1736.00,2517.00,3121.00,3647.00,4138.00,4556.00,4892.00,5152.00,5307.00,5405.00,5490.00,5550.00,5602.00,5667.00,5712.00,5752.00,5791.00,5828.00,5866.00,5899.00,5927.00,5956.00,5985.00,6011.00,6033.00,16563.00
"Kelley, Craig A.",1092.00,1931.00,2808.00,3635.00,4402.00,5069.00,5575.00,5983.00,6308.00,6508.00,6630.00,6710.00,6785.00,6840.00,6877.00,6915.00,6947.00,6973.00,7000.00,7017.00,7044.00,7069.00,7093.00,7114.00,7137.00,7149.00,15447.00
"Lenke, Dan",53.00,105.00,167.00,229.00,305.00,372.00,426.00,463.00,517.00,571.00,615.00,659.00,699.00,748.00,800.00,852.00,899.00,952.00,983.00,1033.00,1082.00,1136.00,1185.00,1229.00,1280.00,1324.00,21272.00
"Levy, Ilan",246.00,458.00,674.00,837.00,1007.00,1163.00,1327.00,1478.00,1613.00,1701.00,1784.00,1849.00,1903.00,1972.00,2026.00,2071.00,2113.00,2159.00,2213.00,2248.00,2289.00,2332.00,2381.00,2420.00,2463.00,2497.00,20099.00
"Mallon, Alanna M.",1328.00,2568.00,3774.00,4736.00,5621.00,6358.00,6919.00,7371.00,7724.00,7934.00,8074.00,8145.00,8212.00,8268.00,8303.00,8338.00,8360.00,8382.00,8407.00,8440.00,8456.00,8476.00,8502.00,8523.00,8540.00,8554.00,14042.00
"McGovern, Marc C.",1879.00,3576.00,5280.00,6698.00,7782.00,8716.00,9456.00,9923.00,10212.00,10381.00,10483.00,10547.00,10594.00,10633.00,10655.00,10673.00,10697.00,10712.00,10729.00,10748.00,10773.00,10794.00,10807.00,10829.00,10849.00,10866.00,11730.00
"Moree, Gregg J.",46.00,110.00,174.00,248.00,325.00,400.00,458.00,508.00,564.00,612.00,655.00,696.00,740.00,777.00,819.00,867.00,925.00,970.00,1016.00,1053.00,1107.00,1166.00,1212.00,1256.00,1300.00,1351.00,21245.00
"Musgrave, Adriane B.",580.00,1088.00,1723.00,2334.00,2885.00,3402.00,3847.00,4201.00,4515.00,4681.00,4821.00,4922.00,5002.00,5069.00,5112.00,5161.00,5193.00,5228.00,5265.00,5305.00,5330.00,5353.00,5387.00,5405.00,5419.00,5437.00,17159.00
"Okamoto, Nadya T.",550.00,1108.00,1618.00,2080.00,2506.00,2921.00,3356.00,3659.00,3943.00,4116.00,4248.00,4360.00,4436.00,4497.00,4558.00,4603.00,4648.00,4680.00,4707.00,4744.00,4774.00,4797.00,4821.00,4852.00,4870.00,4893.00,17703.00
"Pillai, Hari I.",107.00,258.00,409.00,569.00,728.00,884.00,1069.00,1235.00,1396.00,1498.00,1579.00,1656.00,1733.00,1800.00,1861.00,1919.00,1964.00,2018.00,2067.00,2098.00,2131.00,2161.00,2188.00,2222.00,2257.00,2273.00,20323.00
"Santos, Jeff",147.00,396.00,693.00,964.00,1225.00,1517.00,1742.00,1958.00,2119.00,2249.00,2346.00,2450.00,2541.00,2613.00,2660.00,2710.00,2768.00,2811.00,2852.00,2903.00,2948.00,2975.00,3005.00,3035.00,3067.00,3092.00,19504.00
"Siddiqui, Sumbul",2532.00,4661.00,6608.00,8130.00,9196.00,9991.00,10537.00,10958.00,11279.00,11424.00,11518.00,11575.00,11616.00,11654.00,11688.00,11713.00,11733.00,11759.00,11773.00,11794.00,11819.00,11832.00,11848.00,11859.00,11879.00,11890.00,10706.00
"Simmons, E. Denise",2616.00,4873.00,6536.00,7820.00,8914.00,9799.00,10454.00,10875.00,11173.00,11323.00,11413.00,11482.00,11531.00,11559.00,11578.00,11593.00,11603.00,11624.00,11640.00,11645.00,11652.00,11664.00,11678.00,11691.00,11704.00,11726.00,10870.00
"Sivongxay, Vatsady",740.00,1779.00,2922.00,4031.00,5148.00,5870.00,6411.00,6818.00,7084.00,7270.00,7395.00,7488.00,7541.00,7596.00,7644.00,7691.00,7718.00,7744.00,7775.00,7810.00,7827.00,7857.00,7877.00,7897.00,7915.00,7926.00,14670.00
"Sutton, Bryan",45.00,127.00,217.00,327.00,424.00,537.00,653.00,764.00,858.00,919.00,982.00,1043.00,1103.00,1170.00,1238.00,1301.00,1357.00,1413.00,1460.00,1510.00,1551.00,1587.00,1620.00,1651.00,1681.00,1700.00,20896.00
"Tierney, Sean",778.00,1791.00,2745.00,3619.00,4314.00,4903.00,5378.00,5761.00,6047.00,6227.00,6343.00,6451.00,6526.00,6572.00,6630.00,6682.00,6721.00,6764.00,6786.00,6808.00,6839.00,6865.00,6888.00,6904.00,6918.00,6929.00,15667.00
"Toner, Paul F.",980.00,1767.00,2347.00,2827.00,3238.00,3583.00,3931.00,4299.00,4584.00,4742.00,4841.00,4917.00,4985.00,5038.00,5085.00,5129.00,5179.00,5215.00,5263.00,5301.00,5332.00,5369.00,5404.00,5434.00,5449.00,5470.00,17126.00
"Toomey, Jr., Timothy J.",1618.00,2662.00,3458.00,4029.00,4474.00,4909.00,5252.00,5593.00,5860.00,6041.00,6140.00,6211.00,6270.00,6312.00,6347.00,6385.00,6410.00,6428.00,6452.00,6481.00,6505.00,6530.00,6559.00,6590.00,6617.00,6651.00,15945.00
