,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Did Not Rank
"Benjamin, Ronald",1.07,1.85,2.81,3.49,4.11,4.62,5.05,5.56,6.06,6.42,6.74,7.03,7.25,7.47,7.70,7.89,8.11,8.34,8.57,8.75,8.95,9.14,9.31,9.49,9.65,9.69,90.31
"Burgin, Josh M.",1.73,2.97,3.98,4.82,5.59,6.36,6.91,7.54,8.11,8.47,8.78,9.09,9.36,9.59,9.76,9.99,10.29,10.49,10.69,10.83,10.98,11.16,11.33,11.49,11.61,11.72,88.28
"Carlone, Dennis J.",5.20,10.94,16.79,22.37,27.70,31.43,33.96,35.73,37.20,38.01,38.56,38.89,39.12,39.27,39.41,39.53,39.65,39.75,39.83,39.95,40.03,40.13,40.23,40.35,40.41,40.48,59.52
"D'Ambrosio, Olivia",0.96,2.15,3.74,5.37,7.03,8.52,9.98,11.09,12.12,12.79,13.29,13.72,13.99,14.26,14.57,14.72,14.90,15.07,15.25,15.38,15.56,15.72,15.87,15.98,16.11,16.21,83.79
"Devereux, Jan",7.51,15.72,22.59,29.05,34.49,38.13,40.74,42.58,43.88,44.67,45.11,45.34,45.52,45.65,45.80,45.89,45.99,46.08,46.17,46.24,46.31,46.39,46.51,46.60,46.69,46.76,53.24
"Gebru, Samuel",3.48,6.79,10.02,12.78,15.56,18.57,20.64,22.28,23.69,24.39,24.94,25.36,25.63,25.91,26.13,26.31,26.42,26.53,26.68,26.79,26.95,27.08,27.17,27.32,27.42,27.51,72.49
"Harding, Jr., Richard",3.70,7.68,11.14,13.81,16.14,18.31,20.16,21.65,22.80,23.49,23.92,24.30,24.56,24.79,25.08,25.28,25.46,25.63,25.79,25.96,26.11,26.23,26.36,26.49,26.60,26.70,73.30
"Kelley, Craig A.",4.83,8.55,12.43,16.09,19.48,22.43,24.67,26.48,27.92,28.80,29.34,29.70,30.03,30.27,30.43,30.60,30.74,30.86,30.98,31.05,31.17,31.28,31.39,31.48,31.59,31.64,68.36
"Lenke, Dan",0.23,0.46,0.74,1.01,1.35,1.65,1.89,2.05,2.29,2.53,2.72,2.92,3.09,3.31,3.54,3.77,3.98,4.21,4.35,4.57,4.79,5.03,5.24,5.44,5.66,5.86,94.14
"Levy, Ilan",1.09,2.03,2.98,3.70,4.46,5.15,5.87,6.54,7.14,7.53,7.90,8.18,8.42,8.73,8.97,9.17,9.35,9.55,9.79,9.95,10.13,10.32,10.54,10.71,10.90,11.05,88.95
