,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Did Not Rank
"Bowman, Manikka L.",2768.00,5079.00,6813.00,8193.00,9085.00,9543.00,9748.00,9880.00,9988.00,10067.00,10134.00,10174.00,12278.00
"Cronin, Fran A.",1571.00,3002.00,4144.00,5022.00,5761.00,6320.00,6626.00,6835.00,6988.00,7120.00,7222.00,7284.00,15168.00
"Crutchfield, Jake W.",1038.00,1901.00,2817.00,3507.00,4120.00,4630.00,4951.00,5195.00,5348.00,5485.00,5608.00,5712.00,16740.00
"Dexter, Emily R.",2376.00,4948.00,7217.00,8799.00,9783.00,10278.00,10477.00,10588.00,10672.00,10738.00,10767.00,10811.00,11641.00
"Fantini, Alfred B.",2728.00,3998.00,5072.00,6005.00,6815.00,7276.00,7541.00,7691.00,7831.00,7937.00,8070.00,8175.00,14277.00
"Kadete, Elechi M.",845.00,1718.00,2594.00,3287.00,3902.00,4412.00,4768.00,4997.00,5145.00,5291.00,5427.00,5543.00,16909.00
"Kelly, Kathleen M.",1880.00,3798.00,5648.00,6985.00,7936.00,8425.00,8654.00,8816.00,8908.00,8997.00,9066.00,9128.00,13324.00
"Kimbrough, Laurance V.",1855.00,3109.00,4039.00,4696.00,5230.00,5742.00,6004.00,6194.00,6383.00,6559.00,6688.00,6770.00,15682.00
"MacArthur, William",795.00,1464.00,2129.00,2770.00,3289.00,3769.00,4095.00,4341.00,4554.00,4722.00,4902.00,5017.00,17435.00
"Mitros, Piotr Flawiusz",511.00,1053.00,1564.00,2088.00,2532.00,2956.00,3270.00,3498.00,3701.00,3891.00,4026.00,4170.00,18282.00
"Nolan, Patricia M.",3457.00,6312.00,8573.00,9981.00,10938.00,11421.00,11639.00,11747.00,11825.00,11884.00,11930.00,11974.00,10478.00
"Weinstein, David J.",797.00,1565.00,2367.00,3018.00,3720.00,4316.00,4702.00,4936.00,5119.00,5258.00,5389.00,5520.00,16932.00
writeIns,78.00,99.00,113.00,125.00,141.00,152.00,166.00,173.00,175.00,176.00,181.00,181.00,22271.00
