,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Did Not Rank
"Bowman, Manikka L.",12.33,22.62,30.34,36.49,40.46,42.50,43.42,44.00,44.49,44.84,45.14,45.31,54.69
"Cronin, Fran A.",7.00,13.37,18.46,22.37,25.66,28.15,29.51,30.44,31.12,31.71,32.17,32.44,67.56
"Crutchfield, Jake W.",4.62,8.47,12.55,15.62,18.35,20.62,22.05,23.14,23.82,24.43,24.98,25.44,74.56
"Dexter, Emily R.",10.58,22.04,32.14,39.19,43.57,45.78,46.66,47.16,47.53,47.83,47.96,48.15,51.85
"Fantini, Alfred B.",12.15,17.81,22.59,26.75,30.35,32.41,33.59,34.26,34.88,35.35,35.94,36.41,63.59
"Kadete, Elechi M.",3.76,7.65,11.55,14.64,17.38,19.65,21.24,22.26,22.92,23.57,24.17,24.69,75.31
"Kelly, Kathleen M.",8.37,16.92,25.16,31.11,35.35,37.52,38.54,39.27,39.68,40.07,40.38,40.66,59.34
"Kimbrough, Laurance V.",8.26,13.85,17.99,20.92,23.29,25.57,26.74,27.59,28.43,29.21,29.79,30.15,69.85
"MacArthur, William",3.54,6.52,9.48,12.34,14.65,16.79,18.24,19.33,20.28,21.03,21.83,22.35,77.65
"Mitros, Piotr Flawiusz",2.28,4.69,6.97,9.30,11.28,13.17,14.56,15.58,16.48,17.33,17.93,18.57,81.43
"Nolan, Patricia M.",15.40,28.11,38.18,44.45,48.72,50.87,51.84,52.32,52.67,52.93,53.14,53.33,46.67
"Weinstein, David J.",3.55,6.97,10.54,13.44,16.57,19.22,20.94,21.98,22.80,23.42,24.00,24.59,75.41
writeIns,0.35,0.44,0.50,0.56,0.63,0.68,0.74,0.77,0.78,0.78,0.81,0.81,99.19
