,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Fantini, Alfred B.",2372.00,3340.00,4117.00,4779.00,5276.00,5711.00,5930.00,6067.00,6170.00,6259.00,6343.00,9561.00
"Forster, Bill",329.00,752.00,1173.00,1535.00,1813.00,2078.00,2303.00,2505.00,2677.00,2811.00,2898.00,13006.00
"Gerber, Joyce C.",434.00,1015.00,1591.00,2072.00,2489.00,2789.00,2988.00,3192.00,3353.00,3494.00,3561.00,12343.00
"Harding, Jr., Richard",1850.00,3179.00,4258.00,5059.00,5690.00,6170.00,6346.00,6450.00,6524.00,6593.00,6640.00,9264.00
"Holland, John J.",387.00,843.00,1297.00,1661.00,2017.00,2237.00,2422.00,2567.00,2749.00,2882.00,2996.00,12908.00
"McGovern, Marc C.",1769.00,3525.00,4983.00,6027.00,6698.00,7102.00,7261.00,7357.00,7435.00,7488.00,7532.00,8372.00
"Nolan, Patricia M.",2125.00,3846.00,5293.00,6294.00,6871.00,7211.00,7355.00,7447.00,7517.00,7578.00,7619.00,8285.00
"Osborne, Mervan F.",2065.00,3338.00,4279.00,4904.00,5335.00,5644.00,5813.00,5958.00,6054.00,6176.00,6249.00,9655.00
"Stead, Sr., Charles Lewis",293.00,785.00,1250.00,1557.00,1841.00,2023.00,2186.00,2331.00,2469.00,2617.00,2782.00,13122.00
"Tauber, Nancy",1489.00,3404.00,5005.00,6001.00,6670.00,7065.00,7232.00,7324.00,7390.00,7442.00,7482.00,8422.00
"Turkel, Alice L.",2111.00,3959.00,5465.00,6369.00,6958.00,7338.00,7500.00,7591.00,7668.00,7716.00,7756.00,8148.00
writeIns,56.00,72.00,90.00,103.00,115.00,123.00,130.00,132.00,136.00,137.00,139.00,15765.00
