,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Did Not Rank
"Akiba, Sukia",360.00,743.00,1171.00,1521.00,1815.00,2097.00,2312.00,2547.00,2776.00,2942.00,3085.00,3201.00,3305.00,3386.00,3455.00,17869.00
"Azeem, Burhan",960.00,1674.00,2310.00,2912.00,3396.00,3872.00,4316.00,4694.00,5025.00,5200.00,5336.00,5455.00,5536.00,5605.00,5667.00,15657.00
"Carlone, Dennis J.",1474.00,2826.00,4198.00,5160.00,6077.00,6824.00,7466.00,7949.00,8239.00,8394.00,8495.00,8581.00,8649.00,8708.00,8762.00,12562.00
"Franklin, Charles J.",323.00,799.00,1287.00,1825.00,2310.00,2806.00,3214.00,3564.00,3824.00,4024.00,4174.00,4266.00,4355.00,4439.00,4511.00,16813.00
"Kelley, Craig A.",1422.00,2876.00,4047.00,5109.00,5969.00,6680.00,7299.00,7733.00,7981.00,8188.00,8324.00,8434.00,8522.00,8604.00,8683.00,12641.00
"Kopon, Derek Andrew",491.00,936.00,1440.00,2075.00,2663.00,3184.00,3640.00,4036.00,4240.00,4401.00,4524.00,4631.00,4727.00,4800.00,4885.00,16439.00
"Levy, Ilan",109.00,229.00,353.00,497.00,640.00,782.00,930.00,1069.00,1216.00,1332.00,1422.00,1512.00,1592.00,1661.00,1727.00,19597.00
"Mallon, Alanna M.",1254.00,2892.00,4442.00,5701.00,6788.00,7521.00,8096.00,8562.00,8888.00,9068.00,9175.00,9239.00,9291.00,9338.00,9366.00,11958.00
"McGovern, Marc C.",1618.00,3198.00,4750.00,5961.00,6837.00,7522.00,8027.00,8480.00,8809.00,8958.00,9058.00,9130.00,9190.00,9240.00,9293.00,12031.00
"McNary, Jeffery",77.00,183.00,281.00,391.00,504.00,630.00,773.00,864.00,1004.00,1121.00,1223.00,1301.00,1376.00,1456.00,1518.00,19806.00
"Mednick, Risa",242.00,585.00,1049.00,1608.00,2175.00,2726.00,3256.00,3773.00,4300.00,4549.00,4719.00,4852.00,4956.00,5037.00,5092.00,16232.00
"Moree, Gregg J.",46.00,111.00,218.00,310.00,415.00,497.00,580.00,657.00,724.00,787.00,856.00,927.00,1004.00,1069.00,1129.00,20195.00
"Musgrave, Adriane",724.00,1473.00,2240.00,2977.00,3847.00,4539.00,5078.00,5540.00,5875.00,6077.00,6220.00,6335.00,6416.00,6495.00,6564.00,14760.00
"Nolan, Patricia M.",1685.00,3108.00,4536.00,5768.00,6731.00,7396.00,7962.00,8365.00,8631.00,8816.00,8958.00,9075.00,9173.00,9244.00,9306.00,12018.00
"Pitkin, John",536.00,999.00,1483.00,2024.00,2684.00,3285.00,3777.00,4182.00,4383.00,4498.00,4602.00,4715.00,4785.00,4872.00,4943.00,16381.00
"Siddiqui, Sumbul",2515.00,4752.00,6451.00,7806.00,8752.00,9571.00,10118.00,10529.00,10827.00,10965.00,11054.00,11123.00,11159.00,11191.00,11211.00,10113.00
"Simmons, E. Denise",2006.00,3738.00,5204.00,6306.00,7228.00,8021.00,8789.00,9259.00,9595.00,9758.00,9852.00,9927.00,9975.00,10030.00,10082.00,11242.00
"Simon, Ben",294.00,744.00,1154.00,1604.00,2078.00,2685.00,3322.00,3926.00,4193.00,4348.00,4468.00,4563.00,4646.00,4724.00,4795.00,16529.00
"Sobrinho-Wheeler, Jivan",1319.00,2189.00,2913.00,3567.00,4254.00,4922.00,5470.00,6027.00,6415.00,6589.00,6689.00,6769.00,6841.00,6898.00,6958.00,14366.00
"Toomey, Jr., Timothy J.",1727.00,2600.00,3352.00,3922.00,4416.00,4905.00,5414.00,5970.00,6626.00,6798.00,6920.00,7007.00,7077.00,7135.00,7206.00,14118.00
"Williams, Nicola A.",630.00,1468.00,2437.00,3463.00,4496.00,5388.00,6203.00,6810.00,7152.00,7340.00,7481.00,7569.00,7671.00,7742.00,7784.00,13540.00
"Zondervan, Quinton Y.",1380.00,3036.00,4756.00,6067.00,7130.00,8067.00,8800.00,9314.00,9613.00,9792.00,9901.00,9971.00,10030.00,10071.00,10104.00,11220.00
writeIns,17.00,29.00,45.00,54.00,67.00,76.00,84.00,97.00,106.00,114.00,121.00,126.00,130.00,130.00,133.00,21191.00
