,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Did Not Rank
"Akiba, Sukia",1.70,3.50,5.51,7.15,8.53,9.88,10.90,12.01,13.09,13.87,14.54,15.08,15.57,15.95,16.27,83.73
"Azeem, Burhan",4.51,7.87,10.86,13.68,15.95,18.19,20.28,22.07,23.63,24.46,25.09,25.65,26.03,26.36,26.65,73.35
"Carlone, Dennis J.",6.94,13.29,19.73,24.25,28.56,32.06,35.08,37.35,38.71,39.44,39.91,40.32,40.64,40.92,41.17,58.83
"Franklin, Charles J.",1.51,3.75,6.04,8.57,10.86,13.18,15.10,16.74,17.97,18.91,19.63,20.06,20.47,20.87,21.21,78.79
"Kelley, Craig A.",6.67,13.49,19.00,23.99,28.03,31.37,34.29,36.33,37.49,38.46,39.10,39.62,40.03,40.42,40.79,59.21
"Kopon, Derek Andrew",2.31,4.40,6.77,9.75,12.52,14.97,17.13,18.98,19.94,20.70,21.28,21.78,22.24,22.58,22.98,77.02
"Levy, Ilan",0.52,1.08,1.66,2.34,3.02,3.70,4.39,5.05,5.74,6.28,6.71,7.13,7.51,7.83,8.14,91.86
"Mallon, Alanna M.",5.89,13.58,20.85,26.77,31.87,35.31,38.01,40.20,41.73,42.58,43.09,43.39,43.64,43.86,43.99,56.01
"McGovern, Marc C.",7.60,15.03,22.31,28.00,32.12,35.35,37.73,39.85,41.40,42.10,42.57,42.92,43.20,43.45,43.70,56.30
"McNary, Jeffery",0.36,0.86,1.32,1.85,2.38,2.97,3.65,4.09,4.76,5.31,5.79,6.16,6.51,6.89,7.18,92.82
"Mednick, Risa",1.14,2.75,4.94,7.56,10.22,12.82,15.31,17.76,20.24,21.41,22.21,22.84,23.34,23.72,23.97,76.03
"Moree, Gregg J.",0.22,0.53,1.04,1.48,1.97,2.35,2.75,3.12,3.45,3.76,4.08,4.41,4.77,5.08,5.36,94.64
"Musgrave, Adriane",3.40,6.92,10.53,13.98,18.08,21.33,23.86,26.03,27.61,28.56,29.24,29.78,30.16,30.53,30.86,69.14
"Nolan, Patricia M.",7.90,14.59,21.30,27.08,31.60,34.73,37.38,39.27,40.53,41.40,42.07,42.62,43.08,43.42,43.71,56.29
"Pitkin, John",2.51,4.69,6.96,9.51,12.61,15.43,17.74,19.64,20.58,21.12,21.62,22.16,22.49,22.89,23.23,76.77
"Siddiqui, Sumbul",11.80,22.30,30.27,36.63,41.08,44.92,47.49,49.42,50.82,51.46,51.89,52.21,52.38,52.53,52.63,47.37
"Simmons, E. Denise",9.41,17.54,24.42,29.59,33.93,37.65,41.26,43.46,45.04,45.80,46.25,46.60,46.83,47.09,47.33,52.67
"Simon, Ben",1.38,3.50,5.43,7.54,9.76,12.62,15.61,18.45,19.71,20.44,21.00,21.45,21.84,22.21,22.55,77.45
"Sobrinho-Wheeler, Jivan",6.19,10.28,13.70,16.77,20.01,23.15,25.73,28.35,30.18,30.99,31.46,31.85,32.19,32.46,32.74,67.26
"Toomey, Jr., Timothy J.",8.11,12.22,15.75,18.42,20.75,23.06,25.45,28.07,31.14,31.95,32.53,32.93,33.26,33.53,33.87,66.13
"Williams, Nicola A.",2.96,6.89,11.44,16.27,21.12,25.31,29.14,31.99,33.60,34.48,35.14,35.56,36.04,36.37,36.57,63.43
"Zondervan, Quinton Y.",6.48,14.25,22.32,28.49,33.48,37.88,41.33,43.74,45.15,45.99,46.50,46.83,47.11,47.30,47.46,52.54
writeIns,0.08,0.14,0.21,0.25,0.31,0.36,0.39,0.45,0.50,0.54,0.57,0.60,0.61,0.62,0.63,99.37
