,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Allen, Ruth Ryan",4.22,8.39,11.55,14.16,16.52,18.71,20.22,21.46,22.52,23.50,24.34,75.66
"Bowman, Mannika L.",14.70,26.03,35.57,40.37,43.27,45.05,46.00,46.63,47.14,47.52,47.88,52.12
"Dawson, Bernette J.",4.62,9.98,14.68,18.22,21.07,23.27,24.72,25.80,26.66,27.46,27.96,72.04
"Dexter, Emily R.",14.19,28.94,38.84,44.24,47.76,49.65,50.63,51.17,51.60,51.95,52.37,47.63
"Fantini, Alfred B.",12.59,19.69,28.25,32.81,35.82,38.08,39.44,40.37,41.07,41.78,42.61,57.39
"Kadete, Elechi M.",3.85,7.96,12.51,16.74,20.31,22.81,24.54,25.82,26.88,27.68,28.34,71.66
"Lim, Christopher",4.42,9.15,13.31,17.49,21.07,23.70,25.25,26.47,27.70,28.64,29.12,70.88
"Rojas Villareal, Jose Luis",5.35,10.51,16.47,21.37,25.53,28.55,30.21,31.48,32.34,33.09,33.62,66.38
"Weinstain, Rachel",10.29,18.39,25.18,30.46,34.33,36.94,38.39,39.48,40.32,41.01,41.46,58.54
"Weinstein, David J.",4.59,10.07,15.03,19.79,23.61,26.13,27.62,28.72,29.83,30.79,31.63,68.37
"Wilson, Ayesha",12.73,22.15,29.55,35.20,39.74,42.70,43.99,44.82,45.28,45.76,46.07,53.93
writeIns,0.24,0.31,0.34,0.42,0.45,0.49,0.51,0.54,0.59,0.64,0.66,99.34
