Ballots with first choice:,Number of Ballots,"% of votes to Maher, David P.","% of votes to Seidel, Sam","% of votes to Decker, Marjorie C.","% of votes to Cheung, Leland","% of votes to Davis, Henrietta","% of votes to Kelley, Craig A.","% of votes to Simmons, E. Denise","% of votes to Toomey, Jr., Timothy J.","% of votes to Reeves, Kenneth E.",% of votes to exhaust,percent_sum
"Adkins, Lawrence J.",103.0,1.94,3.88,1.94,15.53,0.0,11.65,0.0,0.0,39.81,25.24,100.0
"Cheung, Leland",755.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Davis, Henrietta",1857.0,1.29,3.18,1.72,1.51,85.84,2.85,0.0,0.0,2.21,1.4,100.0
"Decker, Marjorie C.",1285.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Flanagan, Mark F.",111.0,8.11,9.01,0.9,27.03,0.0,9.01,0.0,0.0,10.81,35.14,99.99999999999999
"Glick, Silvia P.",256.0,5.47,14.06,10.16,23.05,0.0,16.8,0.0,0.0,9.77,20.7,100.0
"Kelley, Craig A.",1249.0,0.8,1.52,0.24,0.56,0.0,96.48,0.0,0.0,0.16,0.24,99.99999999999999
"Leavitt, Neal W.",136.0,7.35,19.85,5.15,22.06,0.0,10.29,0.0,0.0,8.09,27.21,100.0
"Maher, David P.",1285.0,96.19,1.48,0.54,0.39,0.0,0.0,0.0,0.0,0.0,1.4,99.99999999999997
"Marquardt, Charles J.",385.0,9.87,10.13,4.94,20.0,0.0,14.55,0.0,0.0,3.12,37.4,100.0
"Moree, Gregg J.",47.0,4.26,8.51,4.26,14.89,0.0,14.89,0.0,0.0,14.89,38.3,100.0
"Podgers, Kathy",78.0,10.26,8.97,3.85,23.08,0.0,10.26,0.0,0.0,7.69,35.9,99.99999999999997
"Reeves, Kenneth E.",1165.0,0.0,1.97,0.94,1.29,0.0,0.0,0.0,0.0,94.42,1.37,100.0
"Seidel, Sam",899.0,0.0,99.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99999999999999
"Simmons, E. Denise",1781.0,0.9,1.46,0.95,1.12,0.0,0.67,89.5,0.0,4.04,1.35,100.0
"Stohlman, Jr., Thomas J.",377.0,11.94,30.24,2.65,17.51,0.0,12.73,0.0,0.0,3.71,21.22,99.99999999999999
"Sullivan, Edward J.",883.0,0.0,0.0,8.15,14.84,0.0,0.0,0.0,0.0,0.0,77.01,100.0
"Toomey, Jr., Timothy J.",1746.0,1.66,0.52,0.52,1.09,0.0,0.8,0.0,91.29,1.2,2.92,100.0
"Ward, Larry W.",735.0,14.15,19.59,9.12,10.48,0.0,0.0,0.0,0.0,23.4,23.27,100.0
"Williamson, James M.",89.0,7.87,14.61,4.49,25.84,0.0,13.48,0.0,0.0,14.61,19.1,99.99999999999999
"vanBeuzekom, Minka Y.",682.0,5.72,21.11,6.01,23.9,0.0,14.08,0.0,0.0,6.01,23.17,100.0
writeIns,33.0,3.03,0.0,6.06,18.18,0.0,12.12,0.0,0.0,12.12,48.48,99.99999999999999
