Ballots with first choice:,Number of Ballots,"% of votes to Maher, David P.","% of votes to Carlone, Dennis J.","% of votes to Devereux, Jan","% of votes to Cheung, Leland","% of votes to Kelley, Craig A.","% of votes to McGovern, Marc C.","% of votes to Simmons, E. Denise","% of votes to Toomey, Jr., Timothy J.","% of votes to Mazen, Nadeem A.",% of votes to exhaust,percent_sum
"Benzan, Dennis A.",1158.0,0.0,8.98,1.99,15.11,7.86,21.59,0.0,17.96,0.0,26.51,100.0
"Carlone, Dennis J.",998.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Cheung, Leland",1187.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Connolly, Mike",841.0,2.02,34.36,21.76,10.23,8.09,9.27,0.0,4.88,0.0,9.39,100.0
"Courtney, Kim",72.0,4.17,5.56,30.56,2.78,8.33,0.0,8.33,4.17,0.0,36.11,99.99999999999999
"Davidson, Mariko",853.0,2.93,14.3,15.24,21.81,10.67,10.2,0.0,4.1,0.0,20.75,100.0
"Degoes, Jr., Plinio T.",51.0,3.92,9.8,27.45,11.76,11.76,5.88,5.88,0.0,0.0,23.53,99.99999999999999
"Devereux, Jan",1306.0,0.0,0.92,98.47,0.23,0.08,0.31,0.0,0.0,0.0,0.0,99.99999999999999
"Dietrich, Xavier",26.0,0.0,11.54,7.69,15.38,23.08,11.54,0.0,3.85,0.0,26.92,99.99999999999999
"Kelley, Craig A.",1433.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Levy, Ilan S.",153.0,3.92,17.65,19.61,11.76,7.84,3.92,3.27,12.42,0.0,19.61,100.0
"Maher, David P.",1637.0,99.57,0.06,0.0,0.12,0.0,0.12,0.0,0.06,0.0,0.06,100.0
"Mahoney, Jr., Paul F.",251.0,22.31,1.99,5.18,7.97,6.77,7.97,4.38,25.9,0.0,17.53,99.99999999999999
"Mazen, Nadeem A.",1929.0,0.67,1.66,0.83,1.14,0.62,0.83,0.52,0.16,92.48,1.09,100.0
"McGovern, Marc C.",1202.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Mello, Gary W.",117.0,10.26,13.68,5.13,10.26,11.97,5.98,2.56,6.84,0.0,33.33,100.0
"Moree, Gregg J.",77.0,11.69,5.19,1.3,14.29,5.19,7.79,22.08,6.49,0.0,25.97,100.0
"Sanzone, John",32.0,9.38,6.25,12.5,15.62,15.62,0.0,9.38,12.5,0.0,18.75,100.0
"Simmons, E. Denise",1710.0,0.12,0.06,0.0,0.35,0.18,0.23,98.95,0.12,0.0,0.0,100.0
"Toomey, Jr., Timothy J.",1415.0,0.0,0.14,0.0,0.35,0.71,1.41,0.0,97.31,0.0,0.07,100.0
"Waite, Romaine",273.0,1.47,17.58,13.92,12.82,5.86,8.79,10.62,4.03,0.0,24.91,99.99999999999999
"Williamson, James M.",72.0,2.78,20.83,18.06,8.33,9.72,11.11,5.56,1.39,0.0,22.22,100.0
"vanBeuzekom, Minka Y.",1014.0,0.0,22.78,0.0,23.47,16.27,14.69,0.0,0.0,0.0,22.78,100.0
writeIns,26.0,0.0,0.0,11.54,7.69,3.85,3.85,3.85,0.0,0.0,69.23,100.0
